id_seq,sentenced,choice_str
1_35_R,Some planners are artists and All artists are surfers,"['All planners are surfers', 'All surfers are planners', 'Some planners are surfers', 'Some surfers are planners', 'Some planners are not surfers', 'Some surfers are not planners', 'No planners are surfers', 'No surfers are planners', 'NVC']"
1_36_R,Some workers are actors and Some painters are not actors,"['All workers are painters', 'All painters are workers', 'Some workers are painters', 'Some painters are workers', 'Some workers are not painters', 'Some painters are not workers', 'No workers are painters', 'No painters are workers', 'NVC']"
1_37_R,No runners are scientists and Some scientists are not chefs,"['All runners are chefs', 'All chefs are runners', 'Some runners are chefs', 'Some chefs are runners', 'Some runners are not chefs', 'Some chefs are not runners', 'No runners are chefs', 'No chefs are runners', 'NVC']"
1_38_R,Some novelists are travelers and Some travelers are analysts,"['All novelists are analysts', 'All analysts are novelists', 'Some novelists are analysts', 'Some analysts are novelists', 'Some novelists are not analysts', 'Some analysts are not novelists', 'No novelists are analysts', 'No analysts are novelists', 'NVC']"
1_39_R,Some doctors are not tellers and No tellers are climbers,"['All doctors are climbers', 'All climbers are doctors', 'Some doctors are climbers', 'Some climbers are doctors', 'Some doctors are not climbers', 'Some climbers are not doctors', 'No doctors are climbers', 'No climbers are doctors', 'NVC']"
1_40_R,All poets are cashiers and All waiters are cashiers,"['All poets are waiters', 'All waiters are poets', 'Some poets are waiters', 'Some waiters are poets', 'Some poets are not waiters', 'Some waiters are not poets', 'No poets are waiters', 'No waiters are poets', 'NVC']"
1_41_R,All sculptors are bakers and No bakers are gamblers,"['All sculptors are gamblers', 'All gamblers are sculptors', 'Some sculptors are gamblers', 'Some gamblers are sculptors', 'Some sculptors are not gamblers', 'Some gamblers are not sculptors', 'No sculptors are gamblers', 'No gamblers are sculptors', 'NVC']"
1_42_R,No managers are clerks and Some clerks are models,"['All managers are models', 'All models are managers', 'Some managers are models', 'Some models are managers', 'Some managers are not models', 'Some models are not managers', 'No managers are models', 'No models are managers', 'NVC']"
1_43_R,All brokers are secretaries and Some secretaries are agents,"['All brokers are agents', 'All agents are brokers', 'Some brokers are agents', 'Some agents are brokers', 'Some brokers are not agents', 'Some agents are not brokers', 'No brokers are agents', 'No agents are brokers', 'NVC']"
1_44_R,Some dancers are boxers and Some dancers are typists,"['All boxers are typists', 'All typists are boxers', 'Some boxers are typists', 'Some typists are boxers', 'Some boxers are not typists', 'Some typists are not boxers', 'No boxers are typists', 'No typists are boxers', 'NVC']"
1_45_R,All drivers are writers and Some hikers are writers,"['All drivers are hikers', 'All hikers are drivers', 'Some drivers are hikers', 'Some hikers are drivers', 'Some drivers are not hikers', 'Some hikers are not drivers', 'No drivers are hikers', 'No hikers are drivers', 'NVC']"
1_46_R,All divers are carpenters and Some carpenters are not linguists,"['All divers are linguists', 'All linguists are divers', 'Some divers are linguists', 'Some linguists are divers', 'Some divers are not linguists', 'Some linguists are not divers', 'No divers are linguists', 'No linguists are divers', 'NVC']"
1_47_R,All painters are cleaners and Some painters are not auditors,"['All cleaners are auditors', 'All auditors are cleaners', 'Some cleaners are auditors', 'Some auditors are cleaners', 'Some cleaners are not auditors', 'Some auditors are not cleaners', 'No cleaners are auditors', 'No auditors are cleaners', 'NVC']"
1_48_R,No florists are editors and All soldiers are florists,"['All editors are soldiers', 'All soldiers are editors', 'Some editors are soldiers', 'Some soldiers are editors', 'Some editors are not soldiers', 'Some soldiers are not editors', 'No editors are soldiers', 'No soldiers are editors', 'NVC']"
1_49_R,Some swimmers are mayors and No mayors are cooks,"['All swimmers are cooks', 'All cooks are swimmers', 'Some swimmers are cooks', 'Some cooks are swimmers', 'Some swimmers are not cooks', 'Some cooks are not swimmers', 'No swimmers are cooks', 'No cooks are swimmers', 'NVC']"
1_50_R,Some architects are designers and Some designers are not trainers,"['All architects are trainers', 'All trainers are architects', 'Some architects are trainers', 'Some trainers are architects', 'Some architects are not trainers', 'Some trainers are not architects', 'No architects are trainers', 'No trainers are architects', 'NVC']"
1_51_R,All tutors are butchers and No packers are tutors,"['All butchers are packers', 'All packers are butchers', 'Some butchers are packers', 'Some packers are butchers', 'Some butchers are not packers', 'Some packers are not butchers', 'No butchers are packers', 'No packers are butchers', 'NVC']"
1_52_R,Some singers are not tailors and Some pilots are tailors,"['All singers are pilots', 'All pilots are singers', 'Some singers are pilots', 'Some pilots are singers', 'Some singers are not pilots', 'Some pilots are not singers', 'No singers are pilots', 'No pilots are singers', 'NVC']"
1_53_R,Some opticians are actuaries and Some boxers are actuaries,"['All opticians are boxers', 'All boxers are opticians', 'Some opticians are boxers', 'Some boxers are opticians', 'Some opticians are not boxers', 'Some boxers are not opticians', 'No opticians are boxers', 'No boxers are opticians', 'NVC']"
1_54_R,Some sailors are chemists and No potters are sailors,"['All chemists are potters', 'All potters are chemists', 'Some chemists are potters', 'Some potters are chemists', 'Some chemists are not potters', 'Some potters are not chemists', 'No chemists are potters', 'No potters are chemists', 'NVC']"
1_55_R,Some investors are not barbers and All barbers are jugglers,"['All investors are jugglers', 'All jugglers are investors', 'Some investors are jugglers', 'Some jugglers are investors', 'Some investors are not jugglers', 'Some jugglers are not investors', 'No investors are jugglers', 'No jugglers are investors', 'NVC']"
1_56_R,Some judges are not brewers and Some porters are judges,"['All brewers are porters', 'All porters are brewers', 'Some brewers are porters', 'Some porters are brewers', 'Some brewers are not porters', 'Some porters are not brewers', 'No brewers are porters', 'No porters are brewers', 'NVC']"
1_57_R,Some hunters are athletes and Some hunters are not lawyers,"['All athletes are lawyers', 'All lawyers are athletes', 'Some athletes are lawyers', 'Some lawyers are athletes', 'Some athletes are not lawyers', 'Some lawyers are not athletes', 'No athletes are lawyers', 'No lawyers are athletes', 'NVC']"
1_58_R,No buyers are cyclists and All buyers are students,"['All cyclists are students', 'All students are cyclists', 'Some cyclists are students', 'Some students are cyclists', 'Some cyclists are not students', 'Some students are not cyclists', 'No cyclists are students', 'No students are cyclists', 'NVC']"
1_59_R,No poets are miners and Some poets are skaters,"['All miners are skaters', 'All skaters are miners', 'Some miners are skaters', 'Some skaters are miners', 'Some miners are not skaters', 'Some skaters are not miners', 'No miners are skaters', 'No skaters are miners', 'NVC']"
1_60_R,Some campers are not engineers and Some engineers are fencers,"['All campers are fencers', 'All fencers are campers', 'Some campers are fencers', 'Some fencers are campers', 'Some campers are not fencers', 'Some fencers are not campers', 'No campers are fencers', 'No fencers are campers', 'NVC']"
1_61_R,No bankers are teachers and No golfers are teachers,"['All bankers are golfers', 'All golfers are bankers', 'Some bankers are golfers', 'Some golfers are bankers', 'Some bankers are not golfers', 'Some golfers are not bankers', 'No bankers are golfers', 'No golfers are bankers', 'NVC']"
1_62_R,No counselors are joggers and Some riders are not counselors,"['All joggers are riders', 'All riders are joggers', 'Some joggers are riders', 'Some riders are joggers', 'Some joggers are not riders', 'Some riders are not joggers', 'No joggers are riders', 'No riders are joggers', 'NVC']"
1_63_R,Some lifeguards are not dentists and No plumbers are dentists,"['All lifeguards are plumbers', 'All plumbers are lifeguards', 'Some lifeguards are plumbers', 'Some plumbers are lifeguards', 'Some lifeguards are not plumbers', 'Some plumbers are not lifeguards', 'No lifeguards are plumbers', 'No plumbers are lifeguards', 'NVC']"
2_0_R,Some cooks are mayors and All cooks are swimmers,"['All mayors are swimmers', 'All swimmers are mayors', 'Some mayors are swimmers', 'Some swimmers are mayors', 'Some mayors are not swimmers', 'Some swimmers are not mayors', 'No mayors are swimmers', 'No swimmers are mayors', 'NVC']"
2_1_R,No painters are auditors and All cleaners are auditors,"['All painters are cleaners', 'All cleaners are painters', 'Some painters are cleaners', 'Some cleaners are painters', 'Some painters are not cleaners', 'Some cleaners are not painters', 'No painters are cleaners', 'No cleaners are painters', 'NVC']"
2_2_R,All scientists are runners and All runners are chefs,"['All scientists are chefs', 'All chefs are scientists', 'Some scientists are chefs', 'Some chefs are scientists', 'Some scientists are not chefs', 'Some chefs are not scientists', 'No scientists are chefs', 'No chefs are scientists', 'NVC']"
2_3_R,All skaters are climbers and Some therapists are skaters,"['All climbers are therapists', 'All therapists are climbers', 'Some climbers are therapists', 'Some therapists are climbers', 'Some climbers are not therapists', 'Some therapists are not climbers', 'No climbers are therapists', 'No therapists are climbers', 'NVC']"
2_4_R,All hunters are athletes and All lawyers are athletes,"['All hunters are lawyers', 'All lawyers are hunters', 'Some hunters are lawyers', 'Some lawyers are hunters', 'Some hunters are not lawyers', 'Some lawyers are not hunters', 'No hunters are lawyers', 'No lawyers are hunters', 'NVC']"
2_5_R,Some judges are brewers and Some brewers are not porters,"['All judges are porters', 'All porters are judges', 'Some judges are porters', 'Some porters are judges', 'Some judges are not porters', 'Some porters are not judges', 'No judges are porters', 'No porters are judges', 'NVC']"
2_6_R,All pilots are tailors and Some tailors are singers,"['All pilots are singers', 'All singers are pilots', 'Some pilots are singers', 'Some singers are pilots', 'Some pilots are not singers', 'Some singers are not pilots', 'No pilots are singers', 'No singers are pilots', 'NVC']"
2_7_R,Some campers are not engineers and Some engineers are not fencers,"['All campers are fencers', 'All fencers are campers', 'Some campers are fencers', 'Some fencers are campers', 'Some campers are not fencers', 'Some fencers are not campers', 'No campers are fencers', 'No fencers are campers', 'NVC']"
2_8_R,No lifeguards are dentists and No plumbers are lifeguards,"['All dentists are plumbers', 'All plumbers are dentists', 'Some dentists are plumbers', 'Some plumbers are dentists', 'Some dentists are not plumbers', 'Some plumbers are not dentists', 'No dentists are plumbers', 'No plumbers are dentists', 'NVC']"
2_9_R,No travelers are analysts and Some novelists are not analysts,"['All travelers are novelists', 'All novelists are travelers', 'Some travelers are novelists', 'Some novelists are travelers', 'Some travelers are not novelists', 'Some novelists are not travelers', 'No travelers are novelists', 'No novelists are travelers', 'NVC']"
2_10_R,Some teachers are not golfers and Some bankers are golfers,"['All teachers are bankers', 'All bankers are teachers', 'Some teachers are bankers', 'Some bankers are teachers', 'Some teachers are not bankers', 'Some bankers are not teachers', 'No teachers are bankers', 'No bankers are teachers', 'NVC']"
2_11_R,Some typists are not boxers and Some dancers are not boxers,"['All typists are dancers', 'All dancers are typists', 'Some typists are dancers', 'Some dancers are typists', 'Some typists are not dancers', 'Some dancers are not typists', 'No typists are dancers', 'No dancers are typists', 'NVC']"
2_12_R,All artists are planners and All artists are surfers,"['All planners are surfers', 'All surfers are planners', 'Some planners are surfers', 'Some surfers are planners', 'Some planners are not surfers', 'Some surfers are not planners', 'No planners are surfers', 'No surfers are planners', 'NVC']"
2_13_R,All hikers are drivers and Some writers are not hikers,"['All drivers are writers', 'All writers are drivers', 'Some drivers are writers', 'Some writers are drivers', 'Some drivers are not writers', 'Some writers are not drivers', 'No drivers are writers', 'No writers are drivers', 'NVC']"
2_14_R,All brokers are agents and No agents are secretaries,"['All brokers are secretaries', 'All secretaries are brokers', 'Some brokers are secretaries', 'Some secretaries are brokers', 'Some brokers are not secretaries', 'Some secretaries are not brokers', 'No brokers are secretaries', 'No secretaries are brokers', 'NVC']"
2_15_R,All linguists are carpenters and No divers are carpenters,"['All linguists are divers', 'All divers are linguists', 'Some linguists are divers', 'Some divers are linguists', 'Some linguists are not divers', 'Some divers are not linguists', 'No linguists are divers', 'No divers are linguists', 'NVC']"
2_16_R,No farmers are scholars and No assistants are scholars,"['All farmers are assistants', 'All assistants are farmers', 'Some farmers are assistants', 'Some assistants are farmers', 'Some farmers are not assistants', 'Some assistants are not farmers', 'No farmers are assistants', 'No assistants are farmers', 'NVC']"
2_17_R,All opticians are boxers and All actuaries are opticians,"['All boxers are actuaries', 'All actuaries are boxers', 'Some boxers are actuaries', 'Some actuaries are boxers', 'Some boxers are not actuaries', 'Some actuaries are not boxers', 'No boxers are actuaries', 'No actuaries are boxers', 'NVC']"
2_18_R,Some poets are skaters and Some poets are not miners,"['All skaters are miners', 'All miners are skaters', 'Some skaters are miners', 'Some miners are skaters', 'Some skaters are not miners', 'Some miners are not skaters', 'No skaters are miners', 'No miners are skaters', 'NVC']"
2_19_R,All editors are soldiers and Some soldiers are not florists,"['All editors are florists', 'All florists are editors', 'Some editors are florists', 'Some florists are editors', 'Some editors are not florists', 'Some florists are not editors', 'No editors are florists', 'No florists are editors', 'NVC']"
2_20_R,Some sailors are chemists and All potters are sailors,"['All chemists are potters', 'All potters are chemists', 'Some chemists are potters', 'Some potters are chemists', 'Some chemists are not potters', 'Some potters are not chemists', 'No chemists are potters', 'No potters are chemists', 'NVC']"
2_21_R,No barbers are investors and Some barbers are jugglers,"['All investors are jugglers', 'All jugglers are investors', 'Some investors are jugglers', 'Some jugglers are investors', 'Some investors are not jugglers', 'Some jugglers are not investors', 'No investors are jugglers', 'No jugglers are investors', 'NVC']"
2_22_R,Some cyclists are not buyers and No buyers are students,"['All cyclists are students', 'All students are cyclists', 'Some cyclists are students', 'Some students are cyclists', 'Some cyclists are not students', 'Some students are not cyclists', 'No cyclists are students', 'No students are cyclists', 'NVC']"
2_23_R,Some actors are not workers and Some painters are not actors,"['All workers are painters', 'All painters are workers', 'Some workers are painters', 'Some painters are workers', 'Some workers are not painters', 'Some painters are not workers', 'No workers are painters', 'No painters are workers', 'NVC']"
2_24_R,Some cashiers are not waiters and Some poets are cashiers,"['All waiters are poets', 'All poets are waiters', 'Some waiters are poets', 'Some poets are waiters', 'Some waiters are not poets', 'Some poets are not waiters', 'No waiters are poets', 'No poets are waiters', 'NVC']"
2_25_R,Some clerks are managers and No managers are models,"['All clerks are models', 'All models are clerks', 'Some clerks are models', 'Some models are clerks', 'Some clerks are not models', 'Some models are not clerks', 'No clerks are models', 'No models are clerks', 'NVC']"
2_26_R,No joggers are counselors and Some riders are joggers,"['All counselors are riders', 'All riders are counselors', 'Some counselors are riders', 'Some riders are counselors', 'Some counselors are not riders', 'Some riders are not counselors', 'No counselors are riders', 'No riders are counselors', 'NVC']"
2_27_R,Some actors are not nurses and No drillers are nurses,"['All actors are drillers', 'All drillers are actors', 'Some actors are drillers', 'Some drillers are actors', 'Some actors are not drillers', 'Some drillers are not actors', 'No actors are drillers', 'No drillers are actors', 'NVC']"
2_28_R,No bakers are sculptors and All sculptors are gamblers,"['All bakers are gamblers', 'All gamblers are bakers', 'Some bakers are gamblers', 'Some gamblers are bakers', 'Some bakers are not gamblers', 'Some gamblers are not bakers', 'No bakers are gamblers', 'No gamblers are bakers', 'NVC']"
2_29_R,No designers are trainers and Some architects are trainers,"['All designers are architects', 'All architects are designers', 'Some designers are architects', 'Some architects are designers', 'Some designers are not architects', 'Some architects are not designers', 'No designers are architects', 'No architects are designers', 'NVC']"
2_30_R,Some packers are tutors and Some butchers are not tutors,"['All packers are butchers', 'All butchers are packers', 'Some packers are butchers', 'Some butchers are packers', 'Some packers are not butchers', 'Some butchers are not packers', 'No packers are butchers', 'No butchers are packers', 'NVC']"
2_31_R,No climbers are doctors and Some doctors are not tellers,"['All climbers are tellers', 'All tellers are climbers', 'Some climbers are tellers', 'Some tellers are climbers', 'Some climbers are not tellers', 'Some tellers are not climbers', 'No climbers are tellers', 'No tellers are climbers', 'NVC']"
2_32_R,Some soldiers are not florists and All soldiers are editors,"['All florists are editors', 'All editors are florists', 'Some florists are editors', 'Some editors are florists', 'Some florists are not editors', 'Some editors are not florists', 'No florists are editors', 'No editors are florists', 'NVC']"
2_33_R,All plumbers are dentists and No plumbers are lifeguards,"['All dentists are lifeguards', 'All lifeguards are dentists', 'Some dentists are lifeguards', 'Some lifeguards are dentists', 'Some dentists are not lifeguards', 'Some lifeguards are not dentists', 'No dentists are lifeguards', 'No lifeguards are dentists', 'NVC']"
2_34_R,Some judges are not brewers and No porters are judges,"['All brewers are porters', 'All porters are brewers', 'Some brewers are porters', 'Some porters are brewers', 'Some brewers are not porters', 'Some porters are not brewers', 'No brewers are porters', 'No porters are brewers', 'NVC']"
2_35_R,All doctors are tellers and Some climbers are not tellers,"['All doctors are climbers', 'All climbers are doctors', 'Some doctors are climbers', 'Some climbers are doctors', 'Some doctors are not climbers', 'Some climbers are not doctors', 'No doctors are climbers', 'No climbers are doctors', 'NVC']"
2_36_R,No secretaries are brokers and All agents are secretaries,"['All brokers are agents', 'All agents are brokers', 'Some brokers are agents', 'Some agents are brokers', 'Some brokers are not agents', 'Some agents are not brokers', 'No brokers are agents', 'No agents are brokers', 'NVC']"
2_37_R,All divers are carpenters and Some linguists are carpenters,"['All divers are linguists', 'All linguists are divers', 'Some divers are linguists', 'Some linguists are divers', 'Some divers are not linguists', 'Some linguists are not divers', 'No divers are linguists', 'No linguists are divers', 'NVC']"
2_38_R,Some counselors are not joggers and No counselors are riders,"['All joggers are riders', 'All riders are joggers', 'Some joggers are riders', 'Some riders are joggers', 'Some joggers are not riders', 'Some riders are not joggers', 'No joggers are riders', 'No riders are joggers', 'NVC']"
2_39_R,Some actors are nurses and Some nurses are drillers,"['All actors are drillers', 'All drillers are actors', 'Some actors are drillers', 'Some drillers are actors', 'Some actors are not drillers', 'Some drillers are not actors', 'No actors are drillers', 'No drillers are actors', 'NVC']"
2_40_R,No designers are architects and All designers are trainers,"['All architects are trainers', 'All trainers are architects', 'Some architects are trainers', 'Some trainers are architects', 'Some architects are not trainers', 'Some trainers are not architects', 'No architects are trainers', 'No trainers are architects', 'NVC']"
2_41_R,Some therapists are not climbers and Some therapists are skaters,"['All climbers are skaters', 'All skaters are climbers', 'Some climbers are skaters', 'Some skaters are climbers', 'Some climbers are not skaters', 'Some skaters are not climbers', 'No climbers are skaters', 'No skaters are climbers', 'NVC']"
2_42_R,Some poets are miners and All skaters are miners,"['All poets are skaters', 'All skaters are poets', 'Some poets are skaters', 'Some skaters are poets', 'Some poets are not skaters', 'Some skaters are not poets', 'No poets are skaters', 'No skaters are poets', 'NVC']"
2_43_R,No packers are tutors and No tutors are butchers,"['All packers are butchers', 'All butchers are packers', 'Some packers are butchers', 'Some butchers are packers', 'Some packers are not butchers', 'Some butchers are not packers', 'No packers are butchers', 'No butchers are packers', 'NVC']"
2_44_R,All workers are actors and Some workers are painters,"['All actors are painters', 'All painters are actors', 'Some actors are painters', 'Some painters are actors', 'Some actors are not painters', 'Some painters are not actors', 'No actors are painters', 'No painters are actors', 'NVC']"
2_45_R,Some jugglers are barbers and Some investors are not jugglers,"['All barbers are investors', 'All investors are barbers', 'Some barbers are investors', 'Some investors are barbers', 'Some barbers are not investors', 'Some investors are not barbers', 'No barbers are investors', 'No investors are barbers', 'NVC']"
2_46_R,No farmers are scholars and Some farmers are not assistants,"['All scholars are assistants', 'All assistants are scholars', 'Some scholars are assistants', 'Some assistants are scholars', 'Some scholars are not assistants', 'Some assistants are not scholars', 'No scholars are assistants', 'No assistants are scholars', 'NVC']"
2_47_R,All students are buyers and Some students are not cyclists,"['All buyers are cyclists', 'All cyclists are buyers', 'Some buyers are cyclists', 'Some cyclists are buyers', 'Some buyers are not cyclists', 'Some cyclists are not buyers', 'No buyers are cyclists', 'No cyclists are buyers', 'NVC']"
2_48_R,No hikers are writers and Some drivers are not hikers,"['All writers are drivers', 'All drivers are writers', 'Some writers are drivers', 'Some drivers are writers', 'Some writers are not drivers', 'Some drivers are not writers', 'No writers are drivers', 'No drivers are writers', 'NVC']"
