Unnamed: 0,id_seq,sentenced,few_shot_pred
154,3_26_R,All carpenters are linguists and Some divers are not linguists, Some divers are linguists
157,3_29_R,No brewers are porters and Some porters are judges, Some brewers are judges
158,3_30_R,All athletes are lawyers and Some athletes are hunters, Some athletes are lawyers
162,3_34_R,All writers are hikers and No writers are drivers, Some writers are hikers
169,3_41_R,No singers are pilots and All pilots are tailors, All singers are tailors
172,3_44_R,No linguists are carpenters and Some divers are linguists, Some linguists are carpenters
174,3_46_R,No soldiers are editors and All soldiers are florists, No soldiers are editors
179,3_51_R,Some lifeguards are dentists and No plumbers are dentists, Some plumbers are dentists
182,3_54_R,All scientists are runners and No chefs are scientists, No chefs are runners
183,3_55_R,Some hunters are lawyers and No lawyers are athletes, No hunters are athletes
188,3_60_R,All agents are secretaries and No secretaries are brokers, No brokers are secretaries
189,3_61_R,Some investors are barbers and All barbers are jugglers, Some barbers are jugglers
191,3_63_R,All farmers are scholars and All assistants are farmers, Some scholars are farmers
192,4_0_R,All chemists are sailors and Some potters are chemists, Some chemists are sailors
193,4_1_R,No joggers are counselors and All riders are counselors, All riders are counselors
194,4_2_R,All jugglers are barbers and All barbers are investors, All jugglers are investors
195,4_3_R,Some writers are drivers and All writers are hikers, Some writers are drivers
198,4_6_R,All managers are clerks and All models are managers, All managers are clerks
199,4_7_R,All doctors are tellers and Some doctors are climbers, Some doctors are climbers
201,4_9_R,All packers are butchers and No tutors are butchers, No packers are butchers
208,4_16_R,Some poets are waiters and No poets are cashiers, No poets are waiters
215,4_23_R,No architects are designers and Some designers are trainers, Some designers are trainers
219,4_27_R,All swimmers are cooks and No mayors are swimmers, No mayors are cooks
220,4_28_R,All plumbers are lifeguards and All plumbers are dentists, Some plumbers are lifeguards
222,4_30_R,Some bankers are golfers and All golfers are teachers, All bankers are teachers
223,4_31_R,No opticians are boxers and Some actuaries are opticians, Some actuaries are boxers
225,4_33_R,No lawyers are hunters and All lawyers are athletes, Some lawyers are athletes
227,4_35_R,All skaters are therapists and Some skaters are not climbers, Some skaters are climbers
230,4_38_R,No doctors are tellers and Some doctors are climbers, Some climbers are tellers
231,4_39_R,Some joggers are counselors and No riders are counselors, Some joggers are counselors
232,4_40_R,All trainers are architects and No trainers are designers, Some trainers are architects
235,4_43_R,All dancers are typists and No typists are boxers, No dancers are boxers
237,4_45_R,No waiters are cashiers and All cashiers are poets, All waiters are poets
238,4_46_R,No skaters are poets and Some miners are poets, Some skaters are poets
239,4_47_R,Some bakers are gamblers and No gamblers are sculptors, Some gamblers are sculptors
241,4_49_R,No artists are surfers and All planners are artists, Some planners are surfers
244,4_52_R,All mayors are cooks and Some swimmers are not cooks, Some cooks are not swimmers
248,4_57_R,Some plumbers are lifeguards and No dentists are plumbers, Some dentists are lifeguards
255,5_0_R,All drivers are hikers and All hikers are writers, All drivers are writers
256,5_1_R,Some golfers are teachers and All golfers are bankers, Some bankers are golfers
257,5_2_R,All nurses are drillers and Some actors are nurses, Some actors are drillers
258,5_3_R,No poets are waiters and All cashiers are waiters, No cashiers are poets
259,5_4_R,All brewers are judges and No porters are judges, Some brewers are judges
261,5_6_R,Some jugglers are investors and No jugglers are barbers, Some jugglers are investors
266,5_11_R,All joggers are riders and All counselors are joggers, All counselors are riders
267,5_12_R,No typists are boxers and All dancers are typists, Some typists are boxers
269,5_14_R,All swimmers are cooks and All swimmers are mayors, Some cooks are mayors
270,5_15_R,No assistants are scholars and All scholars are farmers, Some farmers are scholars
276,5_21_R,Some clerks are models and No models are managers, Some clerks are managers
277,5_22_R,All scientists are runners and Some scientists are not chefs, Some scientists are not runners
279,5_24_R,No plumbers are dentists and Some lifeguards are dentists, Some lifeguards are dentists
281,5_26_R,No hunters are athletes and Some hunters are lawyers, Some hunters are athletes
282,5_27_R,Some tailors are pilots and No singers are pilots, No tailors are pilots
283,5_28_R,No artists are planners and Some planners are surfers, Some artists are planners
293,5_38_R,All cyclists are buyers and Some cyclists are students, Some cyclists are buyers
294,5_39_R,All cleaners are auditors and Some painters are not auditors, Some painters are auditors
297,5_42_R,Some bankers are golfers and No teachers are bankers, Some teachers are golfers
303,5_48_R,All engineers are fencers and No fencers are campers, Some engineers are campers
305,5_50_R,All brokers are agents and No secretaries are brokers, No secretaries are agents
307,5_52_R,No assistants are scholars and Some farmers are assistants, Some farmers are scholars
311,5_56_R,No editors are florists and All editors are soldiers, No editors are florists
317,5_62_R,All skaters are therapists and No skaters are climbers, No skaters are climbers
318,5_63_R,Some analysts are travelers and All travelers are novelists, Some travelers are novelists
319,6_1_R,All engineers are campers and Some fencers are engineers, Some fencers are campers
320,6_2_R,No scholars are farmers and All assistants are farmers, Some scholars are farmers
321,6_3_R,All drillers are nurses and All nurses are actors, All drillers are actors
325,6_7_R,Some carpenters are linguists and No divers are carpenters, No divers are linguists
329,6_11_R,No athletes are hunters and Some athletes are lawyers, Some athletes are lawyers
332,6_14_R,No lifeguards are dentists and All lifeguards are plumbers, No lifeguards are dentists
338,6_20_R,All workers are painters and No actors are painters, Some actors are painters
343,6_25_R,All dancers are boxers and No dancers are typists, No dancers are boxers
345,6_27_R,No florists are editors and Some editors are soldiers, Some editors are soldiers
346,6_28_R,All climbers are tellers and All doctors are climbers, All climbers are tellers
347,6_29_R,All novelists are travelers and Some novelists are analysts, Some novelists are travelers
348,6_30_R,No packers are tutors and All tutors are butchers, No tutors are packers
350,6_32_R,All assistants are scholars and Some assistants are not farmers, Some assistants are scholars
352,6_34_R,All skaters are miners and Some poets are not miners, Some poets are not skaters
355,6_37_R,Some surfers are artists and No planners are artists, No planners are artists
356,6_38_R,Some sailors are chemists and No sailors are potters, Some sailors are chemists
360,6_42_R,No buyers are students and All cyclists are buyers, Some buyers are students
361,6_43_R,All dentists are lifeguards and No plumbers are dentists, No plumbers are lifeguards
366,6_48_R,Some travelers are analysts and No analysts are novelists, Some travelers are novelists
369,6_51_R,Some writers are drivers and All drivers are hikers, All writers are hikers
370,6_52_R,No florists are editors and Some soldiers are editors, Some soldiers are editors
378,6_60_R,All pilots are tailors and No tailors are singers, Some singers are pilots
379,6_61_R,No actuaries are boxers and Some opticians are actuaries, Some opticians are boxers
380,6_62_R,All agents are brokers and All agents are secretaries, All agents are brokers
382,7_0_R,Some chefs are runners and All chefs are scientists, All chefs are runners
383,7_1_R,All painters are workers and All workers are actors, All painters are actors
384,7_2_R,All butchers are tutors and Some packers are butchers, Some packers are tutors
385,7_3_R,No nurses are actors and All drillers are actors, Some nurses are actors
386,7_4_R,No golfers are teachers and All bankers are golfers, Some golfers are teachers
392,7_10_R,No lawyers are hunters and Some athletes are lawyers, Some athletes are hunters
398,7_16_R,Some secretaries are brokers and No secretaries are agents, Some secretaries are brokers
400,7_18_R,All opticians are actuaries and No actuaries are boxers, No opticians are boxers
401,7_19_R,All travelers are novelists and All analysts are travelers, All travelers are novelists
407,7_25_R,All divers are linguists and Some carpenters are not linguists, Some carpenters are linguists
411,7_29_R,No investors are barbers and All barbers are jugglers, All investors are jugglers
414,7_32_R,Some pilots are tailors and No singers are pilots, No singers are tailors
420,7_38_R,Some assistants are scholars and No scholars are farmers, No farmers are scholars
421,7_39_R,All nurses are drillers and No actors are nurses, No actors are drillers
422,7_40_R,All bakers are sculptors and No bakers are gamblers, Some gamblers are sculptors
423,7_41_R,All drivers are writers and No hikers are writers, No hikers are writers
429,7_47_R,No chefs are runners and Some runners are scientists, Some chefs are scientists
430,7_48_R,All bankers are golfers and All bankers are teachers, All bankers are golfers
432,7_50_R,No poets are skaters and Some miners are skaters, Some poets are skaters
433,7_51_R,No travelers are novelists and Some travelers are analysts, Some travelers are novelists
435,7_54_R,No judges are porters and All judges are brewers, No judges are porters
437,7_56_R,Some clerks are managers and All managers are models, All clerks are managers
440,7_59_R,Some climbers are tellers and No doctors are tellers, No doctors are tellers
442,7_61_R,All boxers are opticians and Some boxers are not actuaries, Some boxers are actuaries
444,7_63_R,All barbers are investors and Some barbers are jugglers, Some barbers are jugglers
445,8_0_R,All managers are clerks and All clerks are models, All managers are models
446,8_1_R,No divers are linguists and All carpenters are linguists, Some linguists are divers
447,8_2_R,Some butchers are packers and All butchers are tutors, All butchers are tutors
448,8_3_R,All painters are auditors and Some cleaners are painters, Some cleaners are auditors
450,8_5_R,Some painters are workers and All workers are actors, All painters are actors
454,8_9_R,All pilots are singers and Some pilots are tailors, Some pilots are singers
455,8_10_R,All riders are counselors and No riders are joggers, Some counselors are joggers
456,8_12_R,All agents are brokers and Some secretaries are not brokers, Some agents are brokers
459,8_15_R,All drivers are writers and All hikers are drivers, All hikers are writers
462,8_18_R,Some trainers are designers and No architects are trainers, Some architects are designers
463,8_19_R,Some dancers are boxers and No dancers are typists, No typists are boxers
465,8_21_R,No nurses are actors and Some drillers are actors, Some actors are nurses
466,8_22_R,No sailors are chemists and All sailors are potters, Some sailors are potters
471,8_27_R,Some mayors are swimmers and No cooks are swimmers, No cooks are swimmers
478,8_34_R,No skaters are climbers and Some climbers are therapists, Some climbers are therapists
484,8_40_R,No auditors are painters and All painters are cleaners, All auditors are cleaners
488,8_44_R,Some boxers are typists and No typists are dancers, Some dancers are typists
489,8_45_R,All sculptors are gamblers and No gamblers are bakers, No sculptors are gamblers
490,8_46_R,All plumbers are dentists and No lifeguards are dentists, All plumbers are dentists
492,8_48_R,All fencers are campers and No engineers are fencers, No engineers are campers
497,8_53_R,No riders are joggers and Some riders are counselors, Some riders are counselors
498,8_54_R,No editors are soldiers and Some florists are editors, Some florists are soldiers
501,8_57_R,All cyclists are students and All cyclists are buyers, All cyclists are buyers
503,8_59_R,No runners are scientists and All chefs are runners, Some chefs are scientists
505,8_61_R,All porters are judges and Some porters are not brewers, Some porters are judges
508,9_0_R,Some travelers are analysts and All travelers are novelists, Some travelers are novelists
509,9_1_R,All planners are artists and Some surfers are planners, Some surfers are artists
510,9_2_R,All actuaries are opticians and All opticians are boxers, Some actuaries are opticians
512,9_5_R,All clerks are models and Some clerks are managers, Some clerks are managers
514,9_7_R,No cashiers are waiters and Some poets are cashiers, Some poets are waiters
518,9_12_R,All packers are butchers and No tutors are packers, No tutors are butchers
526,9_21_R,All singers are pilots and No singers are tailors, No singers are pilots
527,9_22_R,Some hikers are writers and All writers are drivers, Some writers are drivers
528,9_23_R,No therapists are climbers and Some climbers are skaters, Some climbers are skaters
531,9_26_R,All engineers are fencers and No campers are fencers, Some engineers are fencers
533,9_28_R,All dentists are lifeguards and Some plumbers are not lifeguards, Some dentists are lifeguards
534,9_29_R,All doctors are climbers and All tellers are doctors, All climbers are tellers
536,9_31_R,No swimmers are mayors and All mayors are cooks, Some mayors are cooks
538,9_33_R,All tellers are climbers and All tellers are doctors, All tellers are climbers
540,9_35_R,Some poets are skaters and No skaters are miners, Some poets are skaters
542,9_38_R,Some buyers are students and No cyclists are students, Some cyclists are students
545,9_41_R,All butchers are tutors and Some butchers are not packers, Some butchers are tutors
547,9_43_R,No farmers are scholars and All assistants are farmers, Some analysts are farmers
551,9_47_R,Some actuaries are opticians and No boxers are actuaries, No boxers are opticians
552,9_48_R,Some sculptors are gamblers and No sculptors are bakers, Some sculptors are gamblers
555,9_51_R,All painters are auditors and No auditors are cleaners, No auditors are cleaners
560,9_57_R,No travelers are analysts and Some novelists are analysts, Some novelists are travelers
562,9_59_R,No skaters are climbers and All skaters are therapists, All skaters are therapists
567,10_0_R,Some linguists are divers and All linguists are carpenters, Some linguists are divers
568,10_2_R,All porters are judges and All judges are brewers, All porters are brewers
569,10_3_R,No bakers are sculptors and All gamblers are sculptors, All gamblers are sculptors
574,10_8_R,Some counselors are joggers and No riders are counselors, Some riders are joggers
578,10_12_R,All nurses are drillers and No drillers are actors, Some actors are nurses
581,10_15_R,Some cashiers are waiters and No waiters are poets, No poets are cashiers
583,10_17_R,No engineers are campers and All engineers are fencers, All engineers are campers
584,10_18_R,All boxers are typists and Some dancers are not typists, Some dancers are typists
585,10_19_R,All mayors are swimmers and No mayors are cooks, No mayors are swimmers
586,10_20_R,Some pilots are tailors and No pilots are singers, Some pilots are tailors
588,10_22_R,All skaters are poets and All skaters are miners, All skaters are poets
592,10_26_R,No runners are chefs and Some scientists are chefs, Some chefs are runners
594,10_28_R,All climbers are therapists and Some climbers are not skaters, Some climbers are not skaters
595,10_29_R,All climbers are doctors and No tellers are doctors, Some climbers are doctors
596,10_30_R,Some packers are tutors and No butchers are tutors, No packers are tutors
599,10_33_R,All therapists are skaters and Some therapists are climbers, Some therapists are climbers
602,10_36_R,No workers are actors and Some workers are painters, Some actors are painters
603,10_37_R,No jugglers are barbers and Some investors are jugglers, Some investors are barbers
610,10_44_R,No miners are poets and Some poets are skaters, Some poets are skaters
613,10_47_R,No buyers are cyclists and All students are buyers, Some students are cyclists
620,10_54_R,All porters are judges and No brewers are porters, No brewers are judges
621,10_55_R,Some singers are pilots and All pilots are tailors, All singers are tailors
625,10_59_R,No dancers are typists and All typists are boxers, Some typists are dancers
629,10_63_R,All divers are linguists and All carpenters are divers, All divers are linguists
630,11_0_R,Some students are buyers and All students are cyclists, Some students are buyers
631,11_1_R,All bankers are teachers and Some golfers are bankers, Some bankers are teachers
632,11_2_R,All surfers are artists and All artists are planners, All surfers are planners
633,11_3_R,No drillers are nurses and All actors are nurses, All actors are drillers
636,11_6_R,Some typists are boxers and No boxers are dancers, Some typists are boxers
637,11_7_R,No plumbers are lifeguards and All dentists are plumbers, Some dentists are lifeguards
640,11_10_R,No designers are trainers and Some trainers are architects, Some trainers are architects
644,11_14_R,Some farmers are scholars and No farmers are assistants, No farmers are scholars
648,11_18_R,All poets are waiters and No cashiers are waiters, No cashiers are poets
649,11_19_R,All drivers are writers and No writers are hikers, Some drivers are writers
650,11_20_R,All joggers are counselors and Some joggers are riders, Some joggers are riders
660,11_30_R,Some clerks are managers and No models are clerks, Some managers are clerks
661,11_31_R,Some agents are secretaries and All secretaries are brokers, Some agents are brokers
667,11_37_R,All farmers are assistants and All farmers are scholars, All farmers are scholars
668,11_38_R,No drivers are writers and Some hikers are drivers, Some hikers are writers
669,11_39_R,Some actors are nurses and No drillers are nurses, No drillers are actors
671,11_41_R,No planners are artists and Some planners are surfers, Some planners are artists
673,11_43_R,All secretaries are agents and All brokers are secretaries, Some secretaries are agents
675,11_45_R,All miners are poets and Some miners are not skaters, Some miners are not poets
676,11_46_R,All clerks are managers and No models are clerks, No models are managers
678,11_48_R,All potters are sailors and No potters are chemists, No potters are sailors
683,11_53_R,All poets are waiters and Some cashiers are not waiters, Some waiters are poets
684,11_54_R,No golfers are bankers and All bankers are teachers, All golfers are bankers
691,11_61_R,No florists are soldiers and Some editors are soldiers, Some editors are soldiers
692,11_62_R,No painters are auditors and All painters are cleaners, Some painters are auditors
694,12_0_R,Some pilots are tailors and All pilots are singers, Some pilots are singers
695,12_1_R,No barbers are investors and All jugglers are investors, Some jugglers are investors
696,12_2_R,All plumbers are lifeguards and Some dentists are plumbers, Some dentists are lifeguards
697,12_3_R,All golfers are teachers and All teachers are bankers, All golfers are teachers
700,12_6_R,All tutors are butchers and All packers are tutors, All tutors are butchers
702,12_8_R,Some cyclists are buyers and No students are cyclists, No students are buyers
704,12_10_R,All poets are cashiers and Some poets are waiters, Some poets are cashiers
705,12_12_R,No writers are hikers and Some writers are drivers, Some writers are hikers
706,12_13_R,No climbers are tellers and Some doctors are tellers, Some climbers are tellers
708,12_15_R,All scholars are farmers and No assistants are scholars, Some assistants are farmers
711,12_18_R,No chefs are scientists and Some runners are chefs, Some chefs are scientists
712,12_19_R,All gamblers are sculptors and No gamblers are bakers, No gamblers are bakers
713,12_20_R,No cooks are mayors and All cooks are swimmers, Some cooks are mayors
719,12_27_R,No fencers are campers and Some campers are engineers, Some campers are engineers
725,12_33_R,Some analysts are travelers and No analysts are novelists, No analysts are travelers
728,12_36_R,All secretaries are brokers and All secretaries are agents, Some brokers are secretaries
730,12_38_R,Some painters are auditors and No cleaners are auditors, No cleaners are auditors
737,12_45_R,All mayors are cooks and No swimmers are cooks, No swimmers are cooks
738,12_46_R,Some cyclists are buyers and No buyers are students, Some cyclists are buyers
741,12_49_R,All divers are linguists and No linguists are carpenters, Some divers are linguists
742,12_50_R,All singers are pilots and Some singers are not tailors, Some singers are tailors
746,12_54_R,No waiters are poets and All poets are cashiers, All waiters are poets
748,12_56_R,Some architects are trainers and All trainers are designers, All trainers are designers
749,12_57_R,No teachers are golfers and All bankers are teachers, No teachers are golfers
751,12_59_R,All tutors are packers and Some butchers are not packers, Some butchers are packers
756,13_0_R,All cashiers are poets and Some waiters are cashiers, Some waiters are poets
757,13_1_R,Some artists are surfers and All artists are planners, Some artists are planners
758,13_2_R,No farmers are scholars and All assistants are scholars, Some assistants are farmers
759,13_3_R,All hikers are writers and All writers are drivers, All hikers are drivers
760,13_4_R,No cooks are mayors and All swimmers are cooks, All cooks are swimmers
763,13_7_R,All doctors are tellers and No climbers are doctors, No climbers are tellers
764,13_8_R,No sculptors are bakers and Some sculptors are gamblers, Some gamblers are sculptors
766,13_10_R,All managers are models and Some clerks are not models, Some clerks are models
774,13_18_R,No jugglers are barbers and All jugglers are investors, Some investors are barbers
775,13_19_R,All miners are poets and No poets are skaters, No poets are skaters
776,13_20_R,All counselors are riders and No joggers are riders, No tutors are riders
779,13_24_R,All therapists are skaters and No therapists are climbers, No therapists are skaters
780,13_26_R,No athletes are lawyers and Some hunters are lawyers, Some athletes are lawyers
783,13_29_R,All teachers are golfers and Some teachers are not bankers, Some teachers are not golfers
784,13_30_R,All butchers are tutors and All packers are butchers, All butchers are tutors
786,13_32_R,No climbers are skaters and Some therapists are climbers, Some climbers are skaters
792,13_38_R,Some potters are sailors and No chemists are sailors, Some chemists are sailors
798,13_45_R,All jugglers are barbers and Some jugglers are investors, Some jugglers are investors
800,13_47_R,No scholars are farmers and Some farmers are assistants, Some farmers are assistants
801,13_48_R,Some judges are porters and All porters are brewers, Some judges are brewers
802,13_49_R,Some butchers are tutors and No butchers are packers, Some butchers are packers
803,13_51_R,No workers are actors and All actors are painters, Some actors are painters
809,13_58_R,Some singers are tailors and No pilots are singers, Some pilots are tailors
814,13_63_R,All travelers are analysts and All travelers are novelists, All travelers are novelists
815,14_0_R,Some swimmers are cooks and All swimmers are mayors, Some cooks are mayors
816,14_1_R,No doctors are climbers and All tellers are climbers, All tellers are climbers
817,14_2_R,All cashiers are waiters and Some poets are cashiers, Some poets are waiters
818,14_3_R,All chefs are runners and All runners are scientists, All chefs are scientists
819,14_5_R,All writers are drivers and All writers are hikers, All writers are hikers
822,14_8_R,No dancers are boxers and Some typists are boxers, Some typists are dancers
826,14_12_R,Some workers are actors and No workers are painters, No painters are actors
829,14_15_R,All carpenters are linguists and No carpenters are divers, No carpenters are linguists
833,14_19_R,All actors are nurses and No drillers are nurses, No drillers are nurses
836,14_22_R,All porters are brewers and No judges are porters, No porters are brewers
842,14_28_R,Some planners are artists and No artists are surfers, Some planners are artists
846,14_32_R,All architects are trainers and Some architects are designers, Some trainers are architects
848,14_34_R,No doctors are tellers and All tellers are climbers, No tellers are climbers
853,14_40_R,Some skaters are poets and No miners are poets, No miners are skaters
854,14_41_R,All clerks are managers and No managers are models, Some clerks are managers
855,14_42_R,Some actors are painters and All painters are workers, All actors are painters
858,14_45_R,No soldiers are editors and Some soldiers are florists, Some soldiers are editors
859,14_46_R,Some chefs are runners and No scientists are chefs, No scientists are runners
860,14_47_R,No dentists are lifeguards and Some lifeguards are plumbers, Some lifeguards are dentists
861,14_48_R,All poets are cashiers and All waiters are poets, Some waiters are cashiers
862,14_49_R,All planners are surfers and Some planners are not artists, Some planners are surfers
863,14_50_R,No painters are cleaners and All auditors are painters, Some auditors are cleaners
868,14_56_R,No dancers are boxers and Some typists are dancers, Some typists are boxers
870,14_59_R,All skaters are climbers and Some therapists are not climbers, Some skaters are climbers
872,14_61_R,No agents are brokers and All agents are secretaries, No agents are brokers
875,15_0_R,No typists are dancers and All boxers are dancers, No boxers are dancers
876,15_1_R,All planners are surfers and All surfers are artists, All planners are artists
877,15_2_R,All trainers are architects and Some designers are trainers, Some trainers are architects
878,15_3_R,Some scientists are chefs and All scientists are runners, Some chefs are runners
887,15_13_R,All therapists are skaters and No climbers are therapists, Some climbers are skaters
890,15_16_R,No dentists are lifeguards and Some dentists are plumbers, Some dentists are lifeguards
891,15_17_R,No farmers are scholars and Some assistants are farmers, Some scholars are farmers
893,15_19_R,All buyers are cyclists and Some buyers are students, Some buyers are students
899,15_25_R,Some brewers are judges and No porters are brewers, Some brewers are judges
903,15_29_R,No workers are painters and Some painters are actors, Some painters are actors
904,15_30_R,All managers are clerks and Some managers are not models, Some managers are not clerks
906,15_32_R,No typists are boxers and All boxers are dancers, Some typists are boxers
909,15_35_R,All therapists are climbers and Some skaters are not climbers, Some skaters are climbers
912,15_38_R,No hikers are drivers and All hikers are writers, All hikers are writers
917,15_44_R,All students are cyclists and No cyclists are buyers, No students are cyclists
919,15_46_R,Some nurses are drillers and No nurses are actors, No nurses are drillers
921,15_48_R,Some tailors are singers and No pilots are singers, No tailors are singers
924,15_51_R,All skaters are miners and All skaters are poets, All skaters are poets
926,15_54_R,All investors are barbers and No investors are jugglers, No investors are barbers
927,15_55_R,All scholars are farmers and All assistants are scholars, All scholars are farmers
928,15_56_R,No campers are fencers and All engineers are campers, Some engineers are fencers
931,15_59_R,Some workers are actors and All actors are painters, Some actors are painters
933,15_61_R,No chemists are potters and Some sailors are potters, Some sailors are potters
936,16_0_R,Some boxers are dancers and All boxers are typists, Some boxers are dancers
937,16_1_R,No chemists are potters and All sailors are potters, No chemists are potters
938,16_2_R,All therapists are skaters and Some climbers are therapists, Some climbers are skaters
939,16_3_R,All lawyers are hunters and All hunters are athletes, All lawyers are hunters
942,16_6_R,No pilots are singers and Some singers are tailors, Some singers are tailors
944,16_8_R,Some opticians are actuaries and No opticians are boxers, No opticians are actuaries
947,16_11_R,All chefs are runners and Some chefs are not scientists, Some chefs are not scientists
948,16_12_R,Some soldiers are editors and All editors are florists, Some soldiers are editors
949,16_16_R,No tellers are climbers and All climbers are doctors, Some climbers are tellers
952,16_19_R,Some cyclists are students and No buyers are cyclists, Some buyers are students
959,16_26_R,All fencers are engineers and Some fencers are campers, Some fencers are engineers
963,16_31_R,Some auditors are painters and No painters are cleaners, No auditors are painters
966,16_34_R,All analysts are travelers and No analysts are novelists, No analysts are travelers
968,16_36_R,All barbers are investors and No investors are jugglers, No investors are jugglers
971,16_40_R,Some boxers are actuaries and No opticians are actuaries, Some opticians are actuaries
973,16_42_R,All runners are chefs and No scientists are chefs, No scientists are chefs
981,16_51_R,No assistants are farmers and Some scholars are assistants, Some scholars are farmers
982,16_52_R,All actors are drillers and Some nurses are not drillers, Some actors are drillers
984,16_54_R,No doctors are climbers and Some doctors are tellers, Some climbers are tellers
988,16_59_R,No fencers are campers and All engineers are fencers, All engineers are campers
990,16_61_R,No clerks are models and Some managers are models, Some managers are not models
993,17_0_R,No auditors are cleaners and All painters are cleaners, Some painters are auditors
994,17_1_R,All miners are skaters and Some poets are miners, Some poets are skaters
995,17_2_R,All cooks are mayors and All mayors are swimmers, Some cooks are swimmers
996,17_3_R,Some therapists are skaters and All therapists are climbers, Some skaters are climbers
998,17_5_R,All porters are judges and Some porters are brewers, Some porters are brewers
1001,17_8_R,All dentists are plumbers and No lifeguards are plumbers, No lifeguards are plumbers
