task_form,best_bert_00_index,bert_00success,best_mnli_00_index,mnli_00success,sentenced
EO3,2,0,5,0,No farmers are scholars and Some assistants are not scholars
AO2,5,0,5,0,All drillers are actors and Some nurses are not drillers
IA1,2,1,2,1,Some planners are artists and All artists are surfers
IO3,4,0,3,0,Some workers are actors and Some painters are not actors
EO1,2,0,5,0,No runners are scientists and Some scientists are not chefs
II1,2,0,2,0,Some novelists are travelers and Some travelers are analysts
OE1,2,0,6,0,Some doctors are not tellers and No tellers are climbers
AA3,0,0,1,0,All poets are cashiers and All waiters are cashiers
AE1,1,0,6,1,All sculptors are bakers and No bakers are gamblers
EI1,2,0,5,1,No managers are clerks and Some clerks are models
AI1,0,0,2,0,All brokers are secretaries and Some secretaries are agents
II4,2,0,5,0,Some dancers are boxers and Some dancers are typists
AI3,2,0,2,0,All drivers are writers and Some hikers are writers
AO1,4,0,4,0,All divers are carpenters and Some carpenters are not linguists
AO4,0,0,4,1,All painters are cleaners and Some painters are not auditors
EA2,1,0,7,1,No florists are editors and All soldiers are florists
IE1,2,0,6,0,Some swimmers are mayors and No mayors are cooks
IO1,4,0,4,0,Some architects are designers and Some designers are not trainers
AE2,0,0,7,0,All tutors are butchers and No packers are tutors
OI3,3,0,4,0,Some singers are not tailors and Some pilots are tailors
II3,5,0,2,0,Some opticians are actuaries and Some boxers are actuaries
IE2,2,0,7,0,Some sailors are chemists and No potters are sailors
OA1,2,0,4,0,Some investors are not barbers and All barbers are jugglers
OI2,1,0,4,0,Some judges are not brewers and Some porters are judges
IO4,2,0,4,0,Some hunters are athletes and Some hunters are not lawyers
EA4,0,0,6,0,No buyers are cyclists and All buyers are students
EI4,2,0,5,1,No poets are miners and Some poets are skaters
OI1,2,0,4,0,Some campers are not engineers and Some engineers are fencers
EE3,0,0,6,0,No bankers are teachers and No golfers are teachers
EO2,2,0,5,0,No counselors are joggers and Some riders are not counselors
OE3,0,0,6,0,Some lifeguards are not dentists and No plumbers are dentists
IA4,2,1,2,1,Some cooks are mayors and All cooks are swimmers
EA3,1,0,6,1,No painters are auditors and All cleaners are auditors
AA1,0,1,0,1,All scientists are runners and All runners are chefs
AI2,1,0,5,0,All skaters are climbers and Some therapists are skaters
AA3,0,0,1,0,All hunters are athletes and All lawyers are athletes
IO1,3,0,5,0,Some judges are brewers and Some brewers are not porters
AI1,0,0,2,0,All pilots are tailors and Some tailors are singers
OO1,3,0,4,0,Some campers are not engineers and Some engineers are not fencers
EE2,0,0,7,0,No lifeguards are dentists and No plumbers are lifeguards
EO3,2,0,5,0,No travelers are analysts and Some novelists are not analysts
OI3,2,0,4,0,Some teachers are not golfers and Some bankers are golfers
OO3,0,0,2,0,Some typists are not boxers and Some dancers are not boxers
AA4,0,0,0,0,All artists are planners and All artists are surfers
AO2,4,0,5,0,All hikers are drivers and Some writers are not hikers
AE1,0,0,6,1,All brokers are agents and No agents are secretaries
AE3,0,0,6,1,All linguists are carpenters and No divers are carpenters
EE3,6,0,7,0,No farmers are scholars and No assistants are scholars
AA2,0,0,0,0,All opticians are boxers and All actuaries are opticians
IO4,3,0,4,0,Some poets are skaters and Some poets are not miners
AO1,4,0,5,0,All editors are soldiers and Some soldiers are not florists
IA2,2,0,4,0,Some sailors are chemists and All potters are sailors
EI4,2,0,5,1,No barbers are investors and Some barbers are jugglers
OE1,2,0,6,0,Some cyclists are not buyers and No buyers are students
OO2,3,0,5,0,Some actors are not workers and Some painters are not actors
OI2,3,0,4,0,Some cashiers are not waiters and Some poets are cashiers
IE1,2,0,6,0,Some clerks are managers and No managers are models
EI2,2,0,5,1,No joggers are counselors and Some riders are joggers
OE3,2,0,3,0,Some actors are not nurses and No drillers are nurses
EA1,0,0,7,0,No bakers are sculptors and All sculptors are gamblers
EI3,2,0,7,0,No designers are trainers and Some architects are trainers
IO3,1,0,5,0,Some packers are tutors and Some butchers are not tutors
EO1,2,0,6,0,No climbers are doctors and Some doctors are not tellers
OA4,4,0,5,1,Some soldiers are not florists and All soldiers are editors
AE4,0,0,6,0,All plumbers are dentists and No plumbers are lifeguards
OE2,4,0,6,0,Some judges are not brewers and No porters are judges
AO3,2,0,5,1,All doctors are tellers and Some climbers are not tellers
EA2,1,0,7,1,No secretaries are brokers and All agents are secretaries
AI3,1,0,5,0,All divers are carpenters and Some linguists are carpenters
OE4,2,0,6,0,Some counselors are not joggers and No counselors are riders
II1,2,0,5,0,Some actors are nurses and Some nurses are drillers
EA4,0,0,7,0,No designers are architects and All designers are trainers
OI4,3,0,5,0,Some therapists are not climbers and Some therapists are skaters
IA3,3,0,5,0,Some poets are miners and All skaters are miners
EE1,1,0,7,0,No packers are tutors and No tutors are butchers
AI4,2,1,2,1,All workers are actors and Some workers are painters
IO2,4,0,5,0,Some jugglers are barbers and Some investors are not jugglers
EO4,2,0,5,0,No farmers are scholars and Some farmers are not assistants
AO4,1,0,4,1,All students are buyers and Some students are not cyclists
EO2,5,0,5,0,No hikers are writers and Some drivers are not hikers
II4,2,0,3,0,Some engineers are fencers and Some engineers are campers
II3,2,0,5,0,Some dancers are typists and Some boxers are typists
OO4,2,0,4,0,Some athletes are not hunters and Some athletes are not lawyers
EE4,0,0,6,0,No golfers are teachers and No golfers are bankers
AE2,1,0,6,0,All boxers are actuaries and No opticians are boxers
II2,3,0,2,0,Some chemists are potters and Some sailors are chemists
OI1,4,0,4,0,Some bakers are not sculptors and Some sculptors are gamblers
IE3,2,0,6,0,Some chefs are runners and No scientists are runners
EI1,2,0,4,0,No clerks are models and Some models are managers
IE2,0,0,6,0,Some auditors are cleaners and No painters are auditors
IA1,2,1,5,1,Some waiters are poets and All poets are cashiers
OA3,2,0,4,1,Some surfers are not artists and All planners are artists
OA2,4,0,4,0,Some cooks are not mayors and All swimmers are cooks
IE4,2,0,6,0,Some pilots are singers and No pilots are tailors
OA1,2,0,4,0,Some novelists are not travelers and All travelers are analysts
IA4,1,0,3,0,Some tutors are packers and All tutors are butchers
AI2,1,0,2,1,All auditors are painters and Some cleaners are auditors
EA3,0,0,7,1,No dancers are typists and All boxers are typists
AA1,0,1,0,1,All workers are painters and All painters are actors
EI4,2,0,2,0,No lifeguards are dentists and Some lifeguards are plumbers
EO3,5,0,5,0,No hikers are drivers and Some writers are not drivers
OO1,5,0,4,0,Some investors are not jugglers and Some jugglers are not barbers
OO2,2,0,5,0,Some climbers are not skaters and Some therapists are not climbers
AA4,0,0,0,0,All drillers are nurses and All drillers are actors
OA4,4,0,5,1,Some poets are not miners and All poets are skaters
IO4,4,0,4,0,Some bankers are teachers and Some bankers are not golfers
AE3,0,0,6,1,All waiters are poets and No cashiers are poets
IO3,5,0,5,0,Some managers are models and Some clerks are not models
EI3,3,0,4,0,No brokers are agents and Some secretaries are agents
EE3,2,0,7,0,No sailors are potters and No chemists are potters
II2,2,0,2,0,Some chefs are scientists and Some runners are chefs
OE2,2,0,6,0,Some actuaries are not opticians and No boxers are actuaries
EO1,2,0,5,0,No sculptors are bakers and Some bakers are not gamblers
AO4,4,1,4,1,All campers are fencers and Some campers are not engineers
OI1,2,0,4,0,Some surfers are not planners and Some planners are artists
IO2,2,0,5,0,Some students are cyclists and Some buyers are not students
IE2,3,0,6,0,Some soldiers are editors and No florists are soldiers
EE1,2,0,6,0,No tellers are doctors and No doctors are climbers
IE4,2,0,6,0,Some tailors are pilots and No tailors are singers
EO2,4,0,5,0,No joggers are counselors and Some riders are not joggers
EA2,1,0,6,1,No farmers are assistants and All scholars are farmers
AO3,2,0,5,1,All carpenters are linguists and Some divers are not linguists
AI1,2,0,2,0,All swimmers are mayors and Some mayors are cooks
OA3,5,0,4,1,Some designers are not architects and All trainers are architects
EI1,2,0,2,0,No brewers are porters and Some porters are judges
AI4,2,1,5,0,All athletes are lawyers and Some athletes are hunters
IA3,1,0,4,0,Some analysts are travelers and All novelists are travelers
II4,2,0,4,0,Some skaters are miners and Some skaters are poets
IO1,2,0,5,0,Some poets are waiters and Some waiters are not cashiers
AE4,0,0,6,0,All writers are hikers and No writers are drivers
AI3,0,0,2,0,All butchers are tutors and Some packers are tutors
OE3,5,0,4,0,Some climbers are not tellers and No doctors are tellers
OI3,2,0,4,0,Some students are not cyclists and Some buyers are cyclists
EE2,0,0,6,0,No teachers are bankers and No golfers are teachers
AO1,3,0,5,0,All judges are brewers and Some brewers are not porters
OA1,2,0,4,0,Some skaters are not climbers and All climbers are therapists
EA1,0,0,4,0,No singers are pilots and All pilots are tailors
II3,2,0,2,0,Some clerks are managers and Some models are managers
OO4,2,0,5,0,Some planners are not artists and Some planners are not surfers
EI2,2,0,5,1,No linguists are carpenters and Some divers are linguists
II1,1,0,2,0,Some gamblers are sculptors and Some sculptors are bakers
EA4,1,0,6,0,No soldiers are editors and All soldiers are florists
EE4,0,0,6,0,No trainers are designers and No trainers are architects
OA2,2,0,7,0,Some nurses are not actors and All drillers are nurses
OE4,3,0,6,0,Some cleaners are not auditors and No cleaners are painters
AA3,0,0,1,0,All sailors are chemists and All potters are chemists
IE3,2,0,5,0,Some lifeguards are dentists and No plumbers are dentists
IA2,2,0,3,0,Some travelers are novelists and All analysts are travelers
OO3,5,0,2,0,Some riders are not counselors and Some joggers are not counselors
AE2,1,0,6,0,All scientists are runners and No chefs are scientists
IE1,2,0,6,0,Some hunters are lawyers and No lawyers are athletes
AO2,4,0,5,0,All cooks are mayors and Some swimmers are not cooks
OI2,2,0,5,0,Some engineers are not fencers and Some campers are engineers
OI4,2,0,5,0,Some actors are not painters and Some actors are workers
OE1,4,0,6,0,Some opticians are not boxers and No boxers are actuaries
AE1,0,0,6,1,All agents are secretaries and No secretaries are brokers
IA1,2,1,3,0,Some investors are barbers and All barbers are jugglers
EO4,3,0,5,0,No boxers are dancers and Some boxers are not typists
AA2,0,0,0,0,All farmers are scholars and All assistants are farmers
AI2,2,1,5,0,All chemists are sailors and Some potters are chemists
EA3,0,0,0,0,No joggers are counselors and All riders are counselors
AA1,0,1,0,1,All jugglers are barbers and All barbers are investors
IA4,0,0,2,1,Some writers are drivers and All writers are hikers
II4,3,0,2,0,Some skaters are poets and Some skaters are miners
OI4,4,0,5,0,Some drillers are not nurses and Some drillers are actors
AA2,1,1,1,1,All managers are clerks and All models are managers
AI4,2,1,2,1,All doctors are tellers and Some doctors are climbers
OI1,2,0,4,0,Some auditors are not cleaners and Some cleaners are painters
AE3,1,0,7,1,All packers are butchers and No tutors are butchers
OE2,2,0,4,0,Some travelers are not novelists and No analysts are travelers
AO1,3,0,4,0,All divers are linguists and Some linguists are not carpenters
AI3,2,0,5,0,All therapists are climbers and Some skaters are climbers
EE4,1,0,6,0,No assistants are scholars and No assistants are farmers
EO2,2,0,5,0,No pilots are tailors and Some singers are not pilots
II3,2,0,2,0,Some hunters are athletes and Some lawyers are athletes
IE4,2,0,6,0,Some poets are waiters and No poets are cashiers
OA2,2,0,5,0,Some secretaries are not agents and All brokers are secretaries
OE1,2,0,6,0,Some artists are not planners and No planners are surfers
OO1,2,0,4,0,Some gamblers are not bakers and Some bakers are not sculptors
OO2,1,0,5,0,Some boxers are not dancers and Some typists are not boxers
EO1,2,0,4,0,No campers are fencers and Some fencers are not engineers
OI2,2,0,5,0,Some painters are not actors and Some workers are painters
EI1,2,0,2,0,No architects are designers and Some designers are trainers
II1,2,0,2,0,Some buyers are students and Some students are cyclists
AA3,0,0,1,0,All porters are brewers and All judges are brewers
II2,2,0,5,0,Some runners are chefs and Some scientists are runners
AE2,0,0,6,0,All swimmers are cooks and No mayors are swimmers
AA4,0,0,0,0,All plumbers are lifeguards and All plumbers are dentists
OA4,2,0,4,0,Some editors are not florists and All editors are soldiers
IA1,2,1,5,1,Some bankers are golfers and All golfers are teachers
EI2,1,0,5,1,No opticians are boxers and Some actuaries are opticians
IO1,0,0,4,0,Some auditors are cleaners and Some cleaners are not painters
EA4,2,0,7,0,No lawyers are hunters and All lawyers are athletes
OO4,5,0,4,0,Some clerks are not models and Some clerks are not managers
AO4,2,0,4,1,All skaters are therapists and Some skaters are not climbers
EO4,2,0,5,0,No agents are secretaries and Some agents are not brokers
IA3,0,0,3,0,Some cyclists are students and All buyers are students
EI4,3,0,5,1,No doctors are tellers and Some doctors are climbers
IE3,4,1,5,0,Some joggers are counselors and No riders are counselors
AE4,1,0,7,0,All trainers are architects and No trainers are designers
OA1,2,0,4,0,Some tailors are not pilots and All pilots are singers
AI1,3,0,2,0,All assistants are farmers and Some farmers are scholars
AE1,6,1,6,1,All dancers are typists and No typists are boxers
OO3,3,0,2,0,Some tutors are not butchers and Some packers are not butchers
EA1,0,0,7,0,No waiters are cashiers and All cashiers are poets
EI3,2,0,4,0,No skaters are poets and Some miners are poets
IE1,2,0,6,0,Some bakers are gamblers and No gamblers are sculptors
EE3,0,0,1,0,No nurses are actors and No drillers are actors
EA2,2,0,6,1,No artists are surfers and All planners are artists
IO3,4,0,5,0,Some opticians are boxers and Some actuaries are not boxers
OE4,2,0,6,0,Some fencers are not campers and No fencers are engineers
AO3,4,0,5,1,All mayors are cooks and Some swimmers are not cooks
IO2,3,0,5,0,Some editors are florists and Some soldiers are not editors
AO2,3,0,5,0,All carpenters are linguists and Some divers are not carpenters
OI3,1,0,4,0,Some investors are not jugglers and Some barbers are jugglers
IE2,0,0,5,0,Some plumbers are lifeguards and No dentists are plumbers
EE1,0,0,7,0,No drivers are writers and No writers are hikers
OE3,4,0,3,0,Some teachers are not golfers and No bankers are golfers
OA3,1,0,4,1,Some brewers are not judges and All porters are judges
IO4,4,0,4,0,Some actors are workers and Some actors are not painters
IA2,3,0,3,0,Some analysts are novelists and All travelers are analysts
EO3,2,0,5,0,No sailors are chemists and Some potters are not chemists
AA1,2,1,0,1,All drivers are hikers and All hikers are writers
IA4,0,0,4,0,Some golfers are teachers and All golfers are bankers
AI2,2,1,5,0,All nurses are drillers and Some actors are nurses
EA3,0,0,7,1,No poets are waiters and All cashiers are waiters
AE3,0,0,6,1,All brewers are judges and No porters are judges
OO4,1,0,5,0,Some packers are not tutors and Some packers are not butchers
IE4,3,0,6,0,Some jugglers are investors and No jugglers are barbers
OA1,2,0,2,0,Some campers are not engineers and All engineers are fencers
OA4,5,1,5,1,Some secretaries are not agents and All secretaries are brokers
OE4,1,0,6,0,Some linguists are not divers and No linguists are carpenters
IO1,4,0,4,0,Some students are cyclists and Some cyclists are not buyers
AA2,1,1,0,0,All joggers are riders and All counselors are joggers
EA2,1,0,6,1,No typists are boxers and All dancers are typists
EO4,4,0,5,0,No cleaners are painters and Some cleaners are not auditors
AA4,0,0,0,0,All swimmers are cooks and All swimmers are mayors
EA1,0,0,7,0,No assistants are scholars and All scholars are farmers
IA3,4,0,2,0,Some opticians are boxers and All actuaries are boxers
EE3,6,0,7,0,No potters are sailors and No chemists are sailors
OE3,4,0,3,0,Some workers are not painters and No actors are painters
OA3,5,0,5,0,Some tellers are not climbers and All doctors are climbers
EO1,3,0,5,0,No poets are skaters and Some skaters are not miners
IE1,2,0,6,0,Some clerks are models and No models are managers
AO4,2,0,4,1,All scientists are runners and Some scientists are not chefs
IO2,2,0,5,0,Some designers are trainers and Some architects are not designers
EI3,0,0,4,0,No plumbers are dentists and Some lifeguards are dentists
OI3,5,0,4,0,Some gamblers are not sculptors and Some bakers are sculptors
EI4,2,0,5,1,No hunters are athletes and Some hunters are lawyers
IE3,2,0,5,0,Some tailors are pilots and No singers are pilots
EI1,2,0,2,0,No artists are planners and Some planners are surfers
OA2,2,0,5,0,Some skaters are not climbers and All therapists are skaters
OO2,3,0,5,0,Some analysts are not novelists and Some travelers are not analysts
OO1,0,0,5,0,Some florists are not soldiers and Some soldiers are not editors
IO4,3,0,4,0,Some cooks are swimmers and Some cooks are not mayors
IO3,3,0,5,0,Some riders are counselors and Some joggers are not counselors
AO2,2,0,5,0,All potters are sailors and Some chemists are not potters
II2,3,0,5,0,Some scientists are runners and Some chefs are scientists
EO2,3,0,5,0,No clerks are managers and Some models are not clerks
AI1,0,0,2,0,All butchers are packers and Some packers are tutors
AI4,1,0,2,1,All cyclists are buyers and Some cyclists are students
AO3,4,0,5,1,All cleaners are auditors and Some painters are not auditors
AI3,1,0,5,0,All lifeguards are plumbers and Some dentists are plumbers
OI4,2,0,5,0,Some doctors are not climbers and Some doctors are tellers
IE2,3,0,5,0,Some bankers are golfers and No teachers are bankers
OE1,4,0,6,0,Some workers are not painters and No painters are actors
II4,2,0,2,0,Some drivers are writers and Some drivers are hikers
EO3,2,0,5,0,No divers are linguists and Some carpenters are not linguists
IA2,2,0,2,0,Some trainers are architects and All designers are trainers
AA3,0,0,2,0,All athletes are lawyers and All hunters are lawyers
AE1,1,0,6,1,All engineers are fencers and No fencers are campers
EE1,6,0,6,0,No brewers are porters and No porters are judges
AE2,7,0,7,0,All brokers are agents and No secretaries are brokers
II3,5,0,2,0,Some actuaries are boxers and Some opticians are boxers
EI2,1,0,5,1,No assistants are scholars and Some farmers are assistants
EE4,3,0,6,0,No skaters are poets and No skaters are miners
AO1,2,0,4,0,All surfers are planners and Some planners are not artists
OI1,2,0,4,0,Some waiters are not poets and Some poets are cashiers
EA4,0,0,6,0,No editors are florists and All editors are soldiers
OI2,5,0,4,0,Some typists are not dancers and Some boxers are typists
II1,3,0,4,0,Some singers are tailors and Some tailors are pilots
EE2,0,0,7,0,No drillers are nurses and No actors are drillers
OE2,5,0,6,0,Some sculptors are not gamblers and No bakers are sculptors
OO3,2,0,5,0,Some barbers are not jugglers and Some investors are not jugglers
AE4,0,0,6,0,All skaters are therapists and No skaters are climbers
IA1,2,1,2,1,Some analysts are travelers and All travelers are novelists
AI2,0,0,2,1,All engineers are campers and Some fencers are engineers
EA3,0,0,2,0,No scholars are farmers and All assistants are farmers
AA1,0,1,0,1,All drillers are nurses and All nurses are actors
OA4,1,0,5,1,Some painters are not auditors and All painters are cleaners
IO2,5,0,5,0,Some sculptors are gamblers and Some bakers are not sculptors
EE3,0,0,7,0,No jugglers are barbers and No investors are barbers
IE2,2,0,7,0,Some carpenters are linguists and No divers are carpenters
AI3,3,0,2,0,All brewers are judges and Some porters are judges
OO1,2,0,4,0,Some climbers are not skaters and Some skaters are not therapists
IO4,3,0,5,0,Some miners are poets and Some miners are not skaters
EI4,2,0,5,1,No athletes are hunters and Some athletes are lawyers
EO1,5,0,4,0,No architects are designers and Some designers are not trainers
AO2,2,0,3,0,All poets are cashiers and Some waiters are not poets
EA4,0,0,6,0,No lifeguards are dentists and All lifeguards are plumbers
IO1,0,0,5,0,Some boxers are opticians and Some opticians are not actuaries
OI2,3,0,4,0,Some counselors are not riders and Some joggers are counselors
EO4,2,0,5,0,No tailors are pilots and Some tailors are not singers
EE2,1,0,6,0,No scientists are runners and No chefs are scientists
OI1,2,0,4,0,Some mayors are not cooks and Some cooks are swimmers
AE3,1,0,7,1,All workers are painters and No actors are painters
II4,3,0,2,0,Some bankers are golfers and Some bankers are teachers
EE1,7,0,7,0,No chemists are potters and No potters are sailors
OO2,2,0,4,0,Some cyclists are not buyers and Some students are not cyclists
OI3,3,0,4,0,Some managers are not clerks and Some models are clerks
AE4,2,0,6,0,All dancers are boxers and No dancers are typists
AA3,0,0,0,0,All secretaries are agents and All brokers are agents
EI1,2,0,5,1,No florists are editors and Some editors are soldiers
AA2,1,1,0,0,All climbers are tellers and All doctors are climbers
AI4,0,0,2,1,All novelists are travelers and Some novelists are analysts
EA1,1,0,7,0,No packers are tutors and All tutors are butchers
IA2,2,0,4,0,Some planners are artists and All surfers are planners
AO4,1,0,4,1,All assistants are scholars and Some assistants are not farmers
II1,3,0,2,0,Some tutors are packers and Some packers are butchers
AO3,2,0,5,1,All skaters are miners and Some poets are not miners
IA3,2,0,2,0,Some clerks are models and All managers are models
IO3,2,0,5,0,Some dancers are boxers and Some typists are not boxers
IE3,3,0,6,0,Some surfers are artists and No planners are artists
IE4,2,0,6,0,Some sailors are chemists and No sailors are potters
OO4,0,0,4,0,Some painters are not cleaners and Some painters are not auditors
AI1,0,0,2,0,All brewers are judges and Some judges are porters
OO3,4,0,2,0,Some chefs are not runners and Some scientists are not runners
EA2,0,0,6,1,No buyers are students and All cyclists are buyers
AE2,2,0,7,0,All dentists are lifeguards and No plumbers are dentists
OA3,2,0,4,1,Some engineers are not fencers and All campers are fencers
OE1,2,0,7,0,Some designers are not trainers and No trainers are architects
II2,2,0,5,0,Some athletes are hunters and Some lawyers are athletes
OE3,2,0,4,0,Some barbers are not jugglers and No investors are jugglers
IE1,2,0,6,0,Some travelers are analysts and No analysts are novelists
OA2,4,0,4,0,Some sculptors are not bakers and All gamblers are sculptors
OE2,4,0,7,0,Some cashiers are not poets and No waiters are cashiers
IA1,2,1,5,1,Some writers are drivers and All drivers are hikers
EI3,3,0,4,0,No florists are editors and Some soldiers are editors
EO3,2,0,5,0,No therapists are skaters and Some climbers are not skaters
II3,0,0,2,0,Some linguists are divers and Some carpenters are divers
EE4,0,0,6,0,No painters are workers and No painters are actors
EO2,2,0,5,0,No actors are nurses and Some drillers are not actors
AO1,4,0,4,0,All bankers are teachers and Some teachers are not golfers
OE4,2,0,6,0,Some mayors are not swimmers and No mayors are cooks
OA1,2,0,4,0,Some doctors are not climbers and All climbers are tellers
AE1,0,0,6,1,All pilots are tailors and No tailors are singers
EI2,2,0,5,1,No actuaries are boxers and Some opticians are actuaries
AA4,0,0,0,0,All agents are brokers and All agents are secretaries
OI4,3,0,5,0,Some joggers are not riders and Some joggers are counselors
IA4,2,1,4,0,Some chefs are runners and All chefs are scientists
AA1,0,1,0,1,All painters are workers and All workers are actors
AI2,3,1,5,0,All butchers are tutors and Some packers are butchers
EA3,0,0,4,1,No nurses are actors and All drillers are actors
EA2,0,0,6,1,No golfers are teachers and All bankers are golfers
OI3,5,0,4,0,Some swimmers are not cooks and Some mayors are cooks
OE3,4,0,6,0,Some brewers are not porters and No judges are porters
AO2,1,0,5,0,All cleaners are painters and Some auditors are not cleaners
IO2,2,0,5,0,Some dancers are boxers and Some typists are not dancers
OA1,2,0,4,0,Some miners are not skaters and All skaters are poets
EI2,2,0,5,1,No lawyers are hunters and Some athletes are lawyers
OE1,2,0,4,0,Some tailors are not singers and No singers are pilots
OI2,2,0,5,0,Some doctors are not climbers and Some tellers are doctors
AO1,1,0,4,0,All scholars are assistants and Some assistants are not farmers
II2,3,0,4,0,Some writers are hikers and Some drivers are writers
OI4,2,0,5,0,Some buyers are not students and Some buyers are cyclists
IE4,3,0,6,0,Some secretaries are brokers and No secretaries are agents
OO2,2,0,5,0,Some cashiers are not waiters and Some poets are not cashiers
AE1,5,1,6,1,All opticians are actuaries and No actuaries are boxers
AA2,0,0,1,1,All travelers are novelists and All analysts are travelers
OO1,5,0,4,0,Some riders are not joggers and Some joggers are not counselors
OA2,0,0,4,0,Some plumbers are not lifeguards and All dentists are plumbers
EE3,0,0,7,0,No campers are engineers and No fencers are engineers
EO2,3,0,5,0,No gamblers are sculptors and Some bakers are not gamblers
EE1,2,0,7,0,No trainers are architects and No architects are designers
AO3,2,0,5,1,All divers are linguists and Some carpenters are not linguists
IA2,3,0,2,0,Some therapists are climbers and All skaters are therapists
OA3,3,0,4,1,Some editors are not florists and All soldiers are florists
OA4,2,0,4,0,Some potters are not sailors and All potters are chemists
EA1,3,0,7,0,No investors are barbers and All barbers are jugglers
EE4,0,0,6,0,No artists are surfers and No artists are planners
IO3,2,0,5,0,Some models are clerks and Some managers are not clerks
IE2,2,0,5,0,Some pilots are tailors and No singers are pilots
AA3,0,0,0,0,All students are buyers and All cyclists are buyers
II3,2,0,3,0,Some surfers are artists and Some planners are artists
IO4,2,0,4,0,Some engineers are campers and Some engineers are not fencers
OO4,4,0,5,0,Some painters are not actors and Some painters are not workers
AI1,2,0,2,0,All secretaries are brokers and Some brokers are agents
IE1,2,0,6,0,Some assistants are scholars and No scholars are farmers
AE2,1,0,6,0,All nurses are drillers and No actors are nurses
AE4,1,0,6,0,All bakers are sculptors and No bakers are gamblers
AE3,0,0,6,1,All drivers are writers and No hikers are writers
IA3,2,0,4,0,Some hunters are athletes and All lawyers are athletes
EO1,5,0,5,0,No skaters are therapists and Some therapists are not climbers
AI3,2,0,5,0,All dancers are boxers and Some typists are boxers
OO3,2,0,2,0,Some architects are not designers and Some trainers are not designers
EO4,0,0,5,0,No riders are joggers and Some riders are not counselors
EI1,2,0,2,0,No chefs are runners and Some runners are scientists
AA4,1,0,0,0,All bankers are golfers and All bankers are teachers
EO3,3,0,3,0,No florists are editors and Some soldiers are not editors
EI3,3,0,4,0,No poets are skaters and Some miners are skaters
EI4,2,0,5,1,No travelers are novelists and Some travelers are analysts
OE2,3,0,6,0,Some chemists are not potters and No sailors are chemists
EA4,0,0,6,0,No judges are porters and All judges are brewers
IO1,2,0,4,0,Some linguists are carpenters and Some carpenters are not divers
IA1,2,1,2,1,Some clerks are managers and All managers are models
OE4,3,0,6,0,Some mayors are not cooks and No mayors are swimmers
II1,2,0,5,0,Some cashiers are waiters and Some waiters are poets
IE3,3,0,5,0,Some climbers are tellers and No doctors are tellers
EE2,0,0,7,0,No plumbers are dentists and No lifeguards are plumbers
AO4,4,1,4,1,All boxers are opticians and Some boxers are not actuaries
II4,0,0,2,0,Some tutors are butchers and Some tutors are packers
AI4,2,1,2,1,All barbers are investors and Some barbers are jugglers
AA1,0,1,0,1,All managers are clerks and All clerks are models
EA3,1,0,6,1,No divers are linguists and All carpenters are linguists
IA4,2,1,2,1,Some butchers are packers and All butchers are tutors
AI2,1,0,5,0,All painters are auditors and Some cleaners are painters
OI3,2,0,4,0,Some jugglers are not barbers and Some investors are barbers
IA1,2,1,0,0,Some painters are workers and All workers are actors
OO2,2,0,4,0,Some engineers are not fencers and Some campers are not engineers
