sentenced,id_seq
All jugglers are barbers and All barbers are investors,4_2_R
Some writers are drivers and All writers are hikers,4_3_R
Some skaters are poets and Some skaters are miners,4_4_R
Some drillers are not nurses and Some drillers are actors,4_5_R
All managers are clerks and All models are managers,4_6_R
All doctors are tellers and Some doctors are climbers,4_7_R
Some auditors are not cleaners and Some cleaners are painters,4_8_R
All packers are butchers and No tutors are butchers,4_9_R
Some travelers are not novelists and No analysts are travelers,4_10_R
All divers are linguists and Some linguists are not carpenters,4_11_R
All therapists are climbers and Some skaters are climbers,4_12_R
No assistants are scholars and No assistants are farmers,4_13_R
No pilots are tailors and Some singers are not pilots,4_14_R
Some hunters are athletes and Some lawyers are athletes,4_15_R
Some poets are waiters and No poets are cashiers,4_16_R
Some secretaries are not agents and All brokers are secretaries,4_17_R
Some artists are not planners and No planners are surfers,4_18_R
Some gamblers are not bakers and Some bakers are not sculptors,4_19_R
Some boxers are not dancers and Some typists are not boxers,4_20_R
No campers are fencers and Some fencers are not engineers,4_21_R
Some painters are not actors and Some workers are painters,4_22_R
No architects are designers and Some designers are trainers,4_23_R
Some buyers are students and Some students are cyclists,4_24_R
All porters are brewers and All judges are brewers,4_25_R
Some runners are chefs and Some scientists are runners,4_26_R
All swimmers are cooks and No mayors are swimmers,4_27_R
All plumbers are lifeguards and All plumbers are dentists,4_28_R
Some editors are not florists and All editors are soldiers,4_29_R
Some bankers are golfers and All golfers are teachers,4_30_R
No opticians are boxers and Some actuaries are opticians,4_31_R
Some auditors are cleaners and Some cleaners are not painters,4_32_R
No lawyers are hunters and All lawyers are athletes,4_33_R
Some clerks are not models and Some clerks are not managers,4_34_R
All skaters are therapists and Some skaters are not climbers,4_35_R
No agents are secretaries and Some agents are not brokers,4_36_R
Some cyclists are students and All buyers are students,4_37_R
No doctors are tellers and Some doctors are climbers,4_38_R
Some joggers are counselors and No riders are counselors,4_39_R
All trainers are architects and No trainers are designers,4_40_R
Some tailors are not pilots and All pilots are singers,4_41_R
All assistants are farmers and Some farmers are scholars,4_42_R
All dancers are typists and No typists are boxers,4_43_R
Some tutors are not butchers and Some packers are not butchers,4_44_R
No waiters are cashiers and All cashiers are poets,4_45_R
No skaters are poets and Some miners are poets,4_46_R
Some bakers are gamblers and No gamblers are sculptors,4_47_R
No nurses are actors and No drillers are actors,4_48_R
No artists are surfers and All planners are artists,4_49_R
Some opticians are boxers and Some actuaries are not boxers,4_50_R
Some fencers are not campers and No fencers are engineers,4_51_R
All mayors are cooks and Some swimmers are not cooks,4_52_R
Some editors are florists and Some soldiers are not editors,4_54_R
All carpenters are linguists and Some divers are not carpenters,4_55_R
Some investors are not jugglers and Some barbers are jugglers,4_56_R
Some plumbers are lifeguards and No dentists are plumbers,4_57_R
No drivers are writers and No writers are hikers,4_58_R
Some teachers are not golfers and No bankers are golfers,4_59_R
Some brewers are not judges and All porters are judges,4_60_R
Some actors are workers and Some actors are not painters,4_61_R
Some analysts are novelists and All travelers are analysts,4_62_R
No sailors are chemists and Some potters are not chemists,4_63_R
All drivers are hikers and All hikers are writers,5_0_R
Some golfers are teachers and All golfers are bankers,5_1_R
All nurses are drillers and Some actors are nurses,5_2_R
No poets are waiters and All cashiers are waiters,5_3_R
All brewers are judges and No porters are judges,5_4_R
Some packers are not tutors and Some packers are not butchers,5_5_R
Some jugglers are investors and No jugglers are barbers,5_6_R
Some campers are not engineers and All engineers are fencers,5_7_R
Some secretaries are not agents and All secretaries are brokers,5_8_R
Some linguists are not divers and No linguists are carpenters,5_9_R
Some students are cyclists and Some cyclists are not buyers,5_10_R
All joggers are riders and All counselors are joggers,5_11_R
No typists are boxers and All dancers are typists,5_12_R
No cleaners are painters and Some cleaners are not auditors,5_13_R
All swimmers are cooks and All swimmers are mayors,5_14_R
No assistants are scholars and All scholars are farmers,5_15_R
Some opticians are boxers and All actuaries are boxers,5_16_R
No potters are sailors and No chemists are sailors,5_17_R
Some workers are not painters and No actors are painters,5_18_R
Some tellers are not climbers and All doctors are climbers,5_19_R
No poets are skaters and Some skaters are not miners,5_20_R
Some clerks are models and No models are managers,5_21_R
All scientists are runners and Some scientists are not chefs,5_22_R
Some designers are trainers and Some architects are not designers,5_23_R
No plumbers are dentists and Some lifeguards are dentists,5_24_R
Some gamblers are not sculptors and Some bakers are sculptors,5_25_R
No hunters are athletes and Some hunters are lawyers,5_26_R
Some tailors are pilots and No singers are pilots,5_27_R
No artists are planners and Some planners are surfers,5_28_R
Some skaters are not climbers and All therapists are skaters,5_29_R
Some analysts are not novelists and Some travelers are not analysts,5_30_R
Some florists are not soldiers and Some soldiers are not editors,5_31_R
Some cooks are swimmers and Some cooks are not mayors,5_32_R
Some riders are counselors and Some joggers are not counselors,5_33_R
All potters are sailors and Some chemists are not potters,5_34_R
Some scientists are runners and Some chefs are scientists,5_35_R
No clerks are managers and Some models are not clerks,5_36_R
All butchers are packers and Some packers are tutors,5_37_R
All cyclists are buyers and Some cyclists are students,5_38_R
All cleaners are auditors and Some painters are not auditors,5_39_R
All lifeguards are plumbers and Some dentists are plumbers,5_40_R
Some doctors are not climbers and Some doctors are tellers,5_41_R
Some bankers are golfers and No teachers are bankers,5_42_R
Some workers are not painters and No painters are actors,5_43_R
Some drivers are writers and Some drivers are hikers,5_44_R
No divers are linguists and Some carpenters are not linguists,5_45_R
Some trainers are architects and All designers are trainers,5_46_R
All athletes are lawyers and All hunters are lawyers,5_47_R
All engineers are fencers and No fencers are campers,5_48_R
No brewers are porters and No porters are judges,5_49_R
All brokers are agents and No secretaries are brokers,5_50_R
Some actuaries are boxers and Some opticians are boxers,5_51_R
No assistants are scholars and Some farmers are assistants,5_52_R
No skaters are poets and No skaters are miners,5_53_R
All surfers are planners and Some planners are not artists,5_54_R
Some waiters are not poets and Some poets are cashiers,5_55_R
No editors are florists and All editors are soldiers,5_56_R
Some typists are not dancers and Some boxers are typists,5_57_R
Some singers are tailors and Some tailors are pilots,5_58_R
No drillers are nurses and No actors are drillers,5_59_R
Some sculptors are not gamblers and No bakers are sculptors,5_60_R
Some barbers are not jugglers and Some investors are not jugglers,5_61_R
All skaters are therapists and No skaters are climbers,5_62_R
Some analysts are travelers and All travelers are novelists,5_63_R
All engineers are campers and Some fencers are engineers,6_1_R
No scholars are farmers and All assistants are farmers,6_2_R
All drillers are nurses and All nurses are actors,6_3_R
Some painters are not auditors and All painters are cleaners,6_4_R
Some sculptors are gamblers and Some bakers are not sculptors,6_5_R
No jugglers are barbers and No investors are barbers,6_6_R
Some carpenters are linguists and No divers are carpenters,6_7_R
All brewers are judges and Some porters are judges,6_8_R
Some climbers are not skaters and Some skaters are not therapists,6_9_R
Some miners are poets and Some miners are not skaters,6_10_R
No athletes are hunters and Some athletes are lawyers,6_11_R
No architects are designers and Some designers are not trainers,6_12_R
All poets are cashiers and Some waiters are not poets,6_13_R
No lifeguards are dentists and All lifeguards are plumbers,6_14_R
Some boxers are opticians and Some opticians are not actuaries,6_15_R
Some counselors are not riders and Some joggers are counselors,6_16_R
No tailors are pilots and Some tailors are not singers,6_17_R
No scientists are runners and No chefs are scientists,6_18_R
Some mayors are not cooks and Some cooks are swimmers,6_19_R
All workers are painters and No actors are painters,6_20_R
Some bankers are golfers and Some bankers are teachers,6_21_R
No chemists are potters and No potters are sailors,6_22_R
Some cyclists are not buyers and Some students are not cyclists,6_23_R
Some managers are not clerks and Some models are clerks,6_24_R
All dancers are boxers and No dancers are typists,6_25_R
All secretaries are agents and All brokers are agents,6_26_R
No florists are editors and Some editors are soldiers,6_27_R
All climbers are tellers and All doctors are climbers,6_28_R
All novelists are travelers and Some novelists are analysts,6_29_R
No packers are tutors and All tutors are butchers,6_30_R
Some planners are artists and All surfers are planners,6_31_R
All assistants are scholars and Some assistants are not farmers,6_32_R
Some tutors are packers and Some packers are butchers,6_33_R
All skaters are miners and Some poets are not miners,6_34_R
Some clerks are models and All managers are models,6_35_R
Some dancers are boxers and Some typists are not boxers,6_36_R
Some surfers are artists and No planners are artists,6_37_R
Some sailors are chemists and No sailors are potters,6_38_R
Some painters are not cleaners and Some painters are not auditors,6_39_R
All brewers are judges and Some judges are porters,6_40_R
Some chefs are not runners and Some scientists are not runners,6_41_R
No buyers are students and All cyclists are buyers,6_42_R
All dentists are lifeguards and No plumbers are dentists,6_43_R
Some engineers are not fencers and All campers are fencers,6_44_R
Some designers are not trainers and No trainers are architects,6_45_R
Some athletes are hunters and Some lawyers are athletes,6_46_R
Some barbers are not jugglers and No investors are jugglers,6_47_R
Some travelers are analysts and No analysts are novelists,6_48_R
Some sculptors are not bakers and All gamblers are sculptors,6_49_R
Some cashiers are not poets and No waiters are cashiers,6_50_R
Some writers are drivers and All drivers are hikers,6_51_R
No florists are editors and Some soldiers are editors,6_52_R
No therapists are skaters and Some climbers are not skaters,6_53_R
Some linguists are divers and Some carpenters are divers,6_54_R
No painters are workers and No painters are actors,6_55_R
No actors are nurses and Some drillers are not actors,6_56_R
All bankers are teachers and Some teachers are not golfers,6_57_R
Some mayors are not swimmers and No mayors are cooks,6_58_R
Some doctors are not climbers and All climbers are tellers,6_59_R
All pilots are tailors and No tailors are singers,6_60_R
No actuaries are boxers and Some opticians are actuaries,6_61_R
All agents are brokers and All agents are secretaries,6_62_R
Some joggers are not riders and Some joggers are counselors,6_63_R
Some chefs are runners and All chefs are scientists,7_0_R
All painters are workers and All workers are actors,7_1_R
All butchers are tutors and Some packers are butchers,7_2_R
No nurses are actors and All drillers are actors,7_3_R
No golfers are teachers and All bankers are golfers,7_4_R
Some swimmers are not cooks and Some mayors are cooks,7_5_R
Some brewers are not porters and No judges are porters,7_6_R
All cleaners are painters and Some auditors are not cleaners,7_7_R
Some dancers are boxers and Some typists are not dancers,7_8_R
Some miners are not skaters and All skaters are poets,7_9_R
No lawyers are hunters and Some athletes are lawyers,7_10_R
Some tailors are not singers and No singers are pilots,7_11_R
Some doctors are not climbers and Some tellers are doctors,7_12_R
All scholars are assistants and Some assistants are not farmers,7_13_R
Some writers are hikers and Some drivers are writers,7_14_R
Some buyers are not students and Some buyers are cyclists,7_15_R
Some secretaries are brokers and No secretaries are agents,7_16_R
Some cashiers are not waiters and Some poets are not cashiers,7_17_R
All opticians are actuaries and No actuaries are boxers,7_18_R
All travelers are novelists and All analysts are travelers,7_19_R
Some riders are not joggers and Some joggers are not counselors,7_20_R
Some plumbers are not lifeguards and All dentists are plumbers,7_21_R
No campers are engineers and No fencers are engineers,7_22_R
No gamblers are sculptors and Some bakers are not gamblers,7_23_R
No trainers are architects and No architects are designers,7_24_R
All divers are linguists and Some carpenters are not linguists,7_25_R
Some therapists are climbers and All skaters are therapists,7_26_R
Some editors are not florists and All soldiers are florists,7_27_R
Some potters are not sailors and All potters are chemists,7_28_R
No investors are barbers and All barbers are jugglers,7_29_R
No artists are surfers and No artists are planners,7_30_R
Some models are clerks and Some managers are not clerks,7_31_R
Some pilots are tailors and No singers are pilots,7_32_R
All students are buyers and All cyclists are buyers,7_33_R
Some surfers are artists and Some planners are artists,7_34_R
Some engineers are campers and Some engineers are not fencers,7_35_R
Some painters are not actors and Some painters are not workers,7_36_R
All secretaries are brokers and Some brokers are agents,7_37_R
Some assistants are scholars and No scholars are farmers,7_38_R
All nurses are drillers and No actors are nurses,7_39_R
All bakers are sculptors and No bakers are gamblers,7_40_R
All drivers are writers and No hikers are writers,7_41_R
Some hunters are athletes and All lawyers are athletes,7_42_R
No skaters are therapists and Some therapists are not climbers,7_43_R
All dancers are boxers and Some typists are boxers,7_44_R
Some architects are not designers and Some trainers are not designers,7_45_R
No riders are joggers and Some riders are not counselors,7_46_R
No chefs are runners and Some runners are scientists,7_47_R
All bankers are golfers and All bankers are teachers,7_48_R
No florists are editors and Some soldiers are not editors,7_49_R
No poets are skaters and Some miners are skaters,7_50_R
No travelers are novelists and Some travelers are analysts,7_51_R
Some chemists are not potters and No sailors are chemists,7_52_R
No judges are porters and All judges are brewers,7_54_R
Some linguists are carpenters and Some carpenters are not divers,7_55_R
Some clerks are managers and All managers are models,7_56_R
Some mayors are not cooks and No mayors are swimmers,7_57_R
Some cashiers are waiters and Some waiters are poets,7_58_R
Some climbers are tellers and No doctors are tellers,7_59_R
No plumbers are dentists and No lifeguards are plumbers,7_60_R
All boxers are opticians and Some boxers are not actuaries,7_61_R
Some tutors are butchers and Some tutors are packers,7_62_R
All barbers are investors and Some barbers are jugglers,7_63_R
All managers are clerks and All clerks are models,8_0_R
No divers are linguists and All carpenters are linguists,8_1_R
Some butchers are packers and All butchers are tutors,8_2_R
All painters are auditors and Some cleaners are painters,8_3_R
Some jugglers are not barbers and Some investors are barbers,8_4_R
Some painters are workers and All workers are actors,8_5_R
Some engineers are not fencers and Some campers are not engineers,8_6_R
No therapists are climbers and No skaters are therapists,8_7_R
Some actuaries are not boxers and All opticians are boxers,8_8_R
All pilots are singers and Some pilots are tailors,8_9_R
All riders are counselors and No riders are joggers,8_10_R
All agents are brokers and Some secretaries are not brokers,8_12_R
No gamblers are bakers and No gamblers are sculptors,8_13_R
No travelers are analysts and Some analysts are not novelists,8_14_R
All drivers are writers and All hikers are drivers,8_15_R
Some cyclists are not buyers and Some cyclists are students,8_16_R
Some doctors are tellers and Some climbers are not doctors,8_17_R
Some trainers are designers and No architects are trainers,8_18_R
Some dancers are boxers and No dancers are typists,8_19_R
No judges are porters and Some brewers are not porters,8_20_R
No nurses are actors and Some drillers are actors,8_21_R
No sailors are chemists and All sailors are potters,8_22_R
Some miners are not skaters and Some poets are miners,8_23_R
No scholars are farmers and No assistants are farmers,8_24_R
Some lifeguards are not dentists and All plumbers are lifeguards,8_25_R
All surfers are planners and Some artists are not surfers,8_26_R
Some mayors are swimmers and No cooks are swimmers,8_27_R
Some teachers are bankers and Some golfers are bankers,8_28_R
No editors are soldiers and Some florists are not editors,8_29_R
No chefs are scientists and Some chefs are not runners,8_30_R
Some waiters are not cashiers and No cashiers are poets,8_31_R
Some nurses are not drillers and All nurses are actors,8_32_R
Some analysts are not travelers and Some travelers are not novelists,8_33_R
No skaters are climbers and Some climbers are therapists,8_34_R
Some climbers are doctors and Some doctors are tellers,8_35_R
Some divers are linguists and Some divers are not carpenters,8_36_R
Some agents are not secretaries and No agents are brokers,8_37_R
All assistants are farmers and Some scholars are farmers,8_38_R
All clerks are models and All managers are models,8_39_R
No auditors are painters and All painters are cleaners,8_40_R
Some hunters are not athletes and Some lawyers are not athletes,8_41_R
All writers are drivers and Some drivers are not hikers,8_42_R
All surfers are planners and Some planners are artists,8_43_R
Some boxers are typists and No typists are dancers,8_44_R
All sculptors are gamblers and No gamblers are bakers,8_45_R
All plumbers are dentists and No lifeguards are dentists,8_46_R
Some golfers are not teachers and No bankers are teachers,8_47_R
All fencers are campers and No engineers are fencers,8_48_R
Some designers are not architects and All architects are trainers,8_49_R
Some singers are tailors and Some tailors are not pilots,8_50_R
Some investors are not jugglers and Some jugglers are barbers,8_51_R
Some miners are skaters and All poets are skaters,8_52_R
No riders are joggers and Some riders are counselors,8_53_R
No editors are soldiers and Some florists are editors,8_54_R
Some waiters are cashiers and Some waiters are poets,8_55_R
Some butchers are tutors and Some packers are butchers,8_56_R
All cyclists are students and All cyclists are buyers,8_57_R
Some chemists are potters and Some sailors are not potters,8_58_R
No runners are scientists and All chefs are runners,8_59_R
Some painters are actors and All workers are painters,8_60_R
All porters are judges and Some porters are not brewers,8_61_R
No boxers are actuaries and No actuaries are opticians,8_62_R
Some swimmers are not cooks and No mayors are swimmers,8_63_R
Some travelers are analysts and All travelers are novelists,9_0_R
All planners are artists and Some surfers are planners,9_1_R
All actuaries are opticians and All opticians are boxers,9_2_R
Some boxers are not dancers and All boxers are typists,9_4_R
All clerks are models and Some clerks are managers,9_5_R
Some students are not buyers and All cyclists are students,9_6_R
No cashiers are waiters and Some poets are cashiers,9_7_R
Some brewers are not judges and No judges are porters,9_9_R
All scientists are runners and All chefs are runners,9_10_R
Some sailors are not chemists and All chemists are potters,9_11_R
All packers are butchers and No tutors are packers,9_12_R
Some cleaners are not painters and Some auditors are not cleaners,9_14_R
Some investors are jugglers and Some investors are barbers,9_15_R
Some bakers are not gamblers and No bakers are sculptors,9_16_R
No secretaries are agents and Some brokers are not agents,9_17_R
Some poets are skaters and Some miners are not poets,9_18_R
Some painters are not actors and Some painters are workers,9_19_R
All riders are joggers and Some joggers are not counselors,9_20_R
All singers are pilots and No singers are tailors,9_21_R
Some hikers are writers and All writers are drivers,9_22_R
No therapists are climbers and Some climbers are skaters,9_23_R
Some teachers are not bankers and Some teachers are not golfers,9_24_R
All farmers are scholars and Some assistants are scholars,9_25_R
All engineers are fencers and No campers are fencers,9_26_R
No nurses are drillers and Some drillers are not actors,9_27_R
All dentists are lifeguards and Some plumbers are not lifeguards,9_28_R
All doctors are climbers and All tellers are doctors,9_29_R
No trainers are architects and No designers are architects,9_30_R
No swimmers are mayors and All mayors are cooks,9_31_R
Some divers are not linguists and Some linguists are carpenters,9_32_R
All tellers are climbers and All tellers are doctors,9_33_R
No golfers are teachers and No bankers are golfers,9_34_R
Some poets are skaters and No skaters are miners,9_35_R
No swimmers are mayors and Some swimmers are not cooks,9_37_R
Some buyers are students and No cyclists are students,9_38_R
Some tailors are not singers and Some pilots are not singers,9_39_R
Some clerks are models and Some models are managers,9_40_R
All butchers are tutors and Some butchers are not packers,9_41_R
Some fencers are not campers and No engineers are fencers,9_42_R
No farmers are scholars and All assistants are farmers,9_43_R
No designers are architects and No designers are trainers,9_44_R
Some actors are nurses and Some drillers are nurses,9_45_R
Some dentists are not lifeguards and No plumbers are lifeguards,9_46_R
Some actuaries are opticians and No boxers are actuaries,9_47_R
Some sculptors are gamblers and No sculptors are bakers,9_48_R
Some editors are florists and All soldiers are florists,9_49_R
Some runners are scientists and Some scientists are not chefs,9_50_R
All painters are auditors and No auditors are cleaners,9_51_R
Some judges are porters and All brewers are judges,9_52_R
Some secretaries are not agents and Some brokers are secretaries,9_54_R
All lawyers are athletes and Some athletes are hunters,9_55_R
Some surfers are not artists and Some planners are artists,9_56_R
No travelers are analysts and Some novelists are analysts,9_57_R
No jugglers are barbers and Some investors are not jugglers,9_58_R
No skaters are climbers and All skaters are therapists,9_59_R
