id_seq,sentenced,choice_str,choice_pred,choice_union_pred
1_10_R,No cleaners are painters and Some auditors are cleaners,"['All painters are auditors', 'All auditors are painters', 'Some painters are auditors', 'Some auditors are painters', 'Some painters are not auditors', 'Some auditors are not painters', 'No painters are auditors', 'No auditors are painters', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999971389770508, 0.9999971389770508, -1]","[0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999971389770508, 0.9999972581863403, -1]"
1_11_R,No lifeguards are dentists and Some lifeguards are not plumbers,"['All dentists are plumbers', 'All plumbers are dentists', 'Some dentists are plumbers', 'Some plumbers are dentists', 'Some dentists are not plumbers', 'Some plumbers are not dentists', 'No dentists are plumbers', 'No plumbers are dentists', 'NVC']","[0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, -1]","[0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999974966049194, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, -1]"
1_12_R,No assistants are farmers and No farmers are scholars,"['All assistants are scholars', 'All scholars are assistants', 'Some assistants are scholars', 'Some scholars are assistants', 'Some assistants are not scholars', 'Some scholars are not assistants', 'No assistants are scholars', 'No scholars are assistants', 'NVC']","[0.9999969005584717, 0.9999970197677612, 0.999996542930603, 0.9999966621398926, 0.9999961853027344, 0.9999964237213135, 0.9999969005584717, 0.9999971389770508, -1]","[0.9999970197677612, 0.9999971389770508, 0.9999969005584717, 0.9999971389770508, 0.9999969005584717, 0.9999972581863403, 0.9999969005584717, 0.9999971389770508, -1]"
1_13_R,No drillers are actors and All actors are nurses,"['All drillers are nurses', 'All nurses are drillers', 'Some drillers are nurses', 'Some nurses are drillers', 'Some drillers are not nurses', 'Some nurses are not drillers', 'No drillers are nurses', 'No nurses are drillers', 'NVC']","[0.9999969005584717, 0.9999969005584717, 0.9999967813491821, 0.9999967813491821, 0.9999966621398926, 0.9999966621398926, 0.9999967813491821, 0.9999967813491821, -1]","[0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999969005584717, 0.9999970197677612, -1]"
1_14_R,Some pilots are not singers and Some singers are not tailors,"['All pilots are tailors', 'All tailors are pilots', 'Some pilots are tailors', 'Some tailors are pilots', 'Some pilots are not tailors', 'Some tailors are not pilots', 'No pilots are tailors', 'No tailors are pilots', 'NVC']","[0.9999974966049194, 0.9999974966049194, 0.999997615814209, 0.9999974966049194, 0.9999974966049194, 0.9999974966049194, 0.9999973773956299, 0.9999972581863403, -1]","[0.9999974966049194, 0.9999974966049194, 0.999997615814209, 0.9999974966049194, 0.9999974966049194, 0.999997615814209, 0.9999974966049194, 0.9999974966049194, -1]"
1_15_R,No surfers are artists and No surfers are planners,"['All artists are planners', 'All planners are artists', 'Some artists are planners', 'Some planners are artists', 'Some artists are not planners', 'Some planners are not artists', 'No artists are planners', 'No planners are artists', 'NVC']","[0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999972581863403, 0.9999970197677612, 0.9999971389770508, 0.9999971389770508, -1]","[0.9999971389770508, 0.9999971389770508, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999971389770508, 0.9999972581863403, -1]"
1_16_R,Some typists are not dancers and All boxers are typists,"['All dancers are boxers', 'All boxers are dancers', 'Some dancers are boxers', 'Some boxers are dancers', 'Some dancers are not boxers', 'Some boxers are not dancers', 'No dancers are boxers', 'No boxers are dancers', 'NVC']","[0.9999969005584717, 0.9999969005584717, 0.9999970197677612, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999966621398926, 0.9999966621398926, -1]","[0.9999970197677612, 0.9999969005584717, 0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999971389770508, 0.9999970197677612, 0.9999969005584717, -1]"
1_17_R,Some engineers are not fencers and Some campers are not fencers,"['All engineers are campers', 'All campers are engineers', 'Some engineers are campers', 'Some campers are engineers', 'Some engineers are not campers', 'Some campers are not engineers', 'No engineers are campers', 'No campers are engineers', 'NVC']","[0.9999967813491821, 0.9999967813491821, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999966621398926, 0.9999966621398926, -1]","[0.9999969005584717, 0.9999970197677612, 0.9999971389770508, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999969005584717, 0.9999970197677612, -1]"
1_18_R,Some climbers are not tellers and No doctors are climbers,"['All tellers are doctors', 'All doctors are tellers', 'Some tellers are doctors', 'Some doctors are tellers', 'Some tellers are not doctors', 'Some doctors are not tellers', 'No tellers are doctors', 'No doctors are tellers', 'NVC']","[0.9999969005584717, 0.9999972581863403, 0.9999971389770508, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999970197677612, 0.9999972581863403, -1]","[0.9999971389770508, 0.9999973773956299, 0.9999972581863403, 0.9999974966049194, 0.9999972581863403, 0.9999974966049194, 0.9999971389770508, 0.9999973773956299, -1]"
1_19_R,Some joggers are not counselors and No joggers are riders,"['All counselors are riders', 'All riders are counselors', 'Some counselors are riders', 'Some riders are counselors', 'Some counselors are not riders', 'Some riders are not counselors', 'No counselors are riders', 'No riders are counselors', 'NVC']","[0.9999970197677612, 0.9999969005584717, 0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999971389770508, 0.9999969005584717, 0.9999967813491821, -1]","[0.9999970197677612, 0.9999967813491821, 0.9999971389770508, 0.9999970197677612, 0.9999972581863403, 0.9999970197677612, 0.9999969005584717, 0.9999967813491821, -1]"
1_20_R,No runners are chefs and No scientists are runners,"['All chefs are scientists', 'All scientists are chefs', 'Some chefs are scientists', 'Some scientists are chefs', 'Some chefs are not scientists', 'Some scientists are not chefs', 'No chefs are scientists', 'No scientists are chefs', 'NVC']","[0.9999969005584717, 0.9999967813491821, 0.9999970197677612, 0.9999969005584717, 0.9999970197677612, 0.9999967813491821, 0.9999970197677612, 0.9999967813491821, -1]","[0.9999971389770508, 0.9999967813491821, 0.9999973773956299, 0.9999971389770508, 0.9999973773956299, 0.9999971389770508, 0.9999971389770508, 0.9999967813491821, -1]"
1_21_R,Some hunters are lawyers and No athletes are lawyers,"['All hunters are athletes', 'All athletes are hunters', 'Some hunters are athletes', 'Some athletes are hunters', 'Some hunters are not athletes', 'Some athletes are not hunters', 'No hunters are athletes', 'No athletes are hunters', 'NVC']","[0.9999964237213135, 0.9999961853027344, 0.9999971389770508, 0.9999970197677612, 0.9999969005584717, 0.9999969005584717, 0.9999966621398926, 0.9999963045120239, -1]","[0.9999963045120239, 0.9999961853027344, 0.9999970197677612, 0.9999967813491821, 0.9999969005584717, 0.9999969005584717, 0.9999966621398926, 0.9999963045120239, -1]"
1_22_R,Some mayors are cooks and Some swimmers are mayors,"['All cooks are swimmers', 'All swimmers are cooks', 'Some cooks are swimmers', 'Some swimmers are cooks', 'Some cooks are not swimmers', 'Some swimmers are not cooks', 'No cooks are swimmers', 'No swimmers are cooks', 'NVC']","[0.9999966621398926, 0.999996542930603, 0.9999970197677612, 0.9999971389770508, 0.9999969005584717, 0.9999970197677612, 0.9999964237213135, 0.9999964237213135, -1]","[0.9999969005584717, 0.9999969005584717, 0.9999971389770508, 0.9999972581863403, 0.9999972581863403, 0.9999972581863403, 0.9999969005584717, 0.9999970197677612, -1]"
1_23_R,Some poets are waiters and All cashiers are waiters,"['All poets are cashiers', 'All cashiers are poets', 'Some poets are cashiers', 'Some cashiers are poets', 'Some poets are not cashiers', 'Some cashiers are not poets', 'No poets are cashiers', 'No cashiers are poets', 'NVC']","[0.9999972581863403, 0.9999970197677612, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, 0.9999971389770508, 0.9999970197677612, 0.9999970197677612, -1]","[0.9999972581863403, 0.9999971389770508, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999971389770508, 0.9999970197677612, -1]"
1_24_R,All agents are secretaries and All brokers are agents,"['All secretaries are brokers', 'All brokers are secretaries', 'Some secretaries are brokers', 'Some brokers are secretaries', 'Some secretaries are not brokers', 'Some brokers are not secretaries', 'No secretaries are brokers', 'No brokers are secretaries', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999972581863403, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999970197677612, -1]","[0.9999972581863403, 0.9999971389770508, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, 0.9999972581863403, 0.9999973773956299, 0.9999971389770508, -1]"
1_25_R,Some students are not buyers and All cyclists are buyers,"['All students are cyclists', 'All cyclists are students', 'Some students are cyclists', 'Some cyclists are students', 'Some students are not cyclists', 'Some cyclists are not students', 'No students are cyclists', 'No cyclists are students', 'NVC']","[0.9999970197677612, 0.9999967813491821, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.999996542930603, 0.9999963045120239, -1]","[0.9999969005584717, 0.9999967813491821, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999970197677612, 0.9999967813491821, -1]"
1_26_R,Some workers are not actors and Some painters are not workers,"['All actors are painters', 'All painters are actors', 'Some actors are painters', 'Some painters are actors', 'Some actors are not painters', 'Some painters are not actors', 'No actors are painters', 'No painters are actors', 'NVC']","[0.9999966621398926, 0.9999967813491821, 0.9999970197677612, 0.9999970197677612, 0.9999971389770508, 0.9999971389770508, 0.9999964237213135, 0.999996542930603, -1]","[0.9999963045120239, 0.9999966621398926, 0.9999967813491821, 0.9999969005584717, 0.9999970197677612, 0.9999970197677612, 0.9999966621398926, 0.9999967813491821, -1]"
1_27_R,Some designers are not architects and Some designers are trainers,"['All architects are trainers', 'All trainers are architects', 'Some architects are trainers', 'Some trainers are architects', 'Some architects are not trainers', 'Some trainers are not architects', 'No architects are trainers', 'No trainers are architects', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999973773956299, 0.9999974966049194, 0.9999973773956299, 0.9999974966049194, 0.9999969005584717, 0.9999971389770508, -1]","[0.9999972581863403, 0.9999973773956299, 0.9999973773956299, 0.9999974966049194, 0.9999973773956299, 0.9999974966049194, 0.9999971389770508, 0.9999973773956299, -1]"
1_28_R,All brewers are judges and Some brewers are porters,"['All judges are porters', 'All porters are judges', 'Some judges are porters', 'Some porters are judges', 'Some judges are not porters', 'Some porters are not judges', 'No judges are porters', 'No porters are judges', 'NVC']","[0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999972581863403, 0.9999972581863403, 0.9999972581863403, 0.9999970197677612, 0.9999967813491821, -1]","[0.9999972581863403, 0.9999972581863403, 0.9999972581863403, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999971389770508, 0.9999971389770508, -1]"
1_29_R,Some novelists are not travelers and Some novelists are not analysts,"['All travelers are analysts', 'All analysts are travelers', 'Some travelers are analysts', 'Some analysts are travelers', 'Some travelers are not analysts', 'Some analysts are not travelers', 'No travelers are analysts', 'No analysts are travelers', 'NVC']","[0.9999967813491821, 0.9999960660934448, 0.9999971389770508, 0.9999966621398926, 0.9999970197677612, 0.9999967813491821, 0.9999967813491821, 0.9999961853027344, -1]","[0.9999971389770508, 0.9999967813491821, 0.9999972581863403, 0.9999970197677612, 0.9999972581863403, 0.9999971389770508, 0.9999971389770508, 0.9999970197677612, -1]"
1_30_R,Some tutors are butchers and No tutors are packers,"['All butchers are packers', 'All packers are butchers', 'Some butchers are packers', 'Some packers are butchers', 'Some butchers are not packers', 'Some packers are not butchers', 'No butchers are packers', 'No packers are butchers', 'NVC']","[0.9999971389770508, 0.9999967813491821, 0.9999972581863403, 0.9999969005584717, 0.9999971389770508, 0.9999969005584717, 0.9999969005584717, 0.9999967813491821, -1]","[0.9999974966049194, 0.9999973773956299, 0.9999974966049194, 0.9999973773956299, 0.9999974966049194, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, -1]"
1_31_R,All editors are florists and All editors are soldiers,"['All florists are soldiers', 'All soldiers are florists', 'Some florists are soldiers', 'Some soldiers are florists', 'Some florists are not soldiers', 'Some soldiers are not florists', 'No florists are soldiers', 'No soldiers are florists', 'NVC']","[0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999969005584717, 0.9999967813491821, -1]","[0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, -1]"
1_32_R,All therapists are climbers and No therapists are skaters,"['All climbers are skaters', 'All skaters are climbers', 'Some climbers are skaters', 'Some skaters are climbers', 'Some climbers are not skaters', 'Some skaters are not climbers', 'No climbers are skaters', 'No skaters are climbers', 'NVC']","[0.9999970197677612, 0.9999969005584717, 0.9999971389770508, 0.9999971389770508, 0.9999971389770508, 0.9999970197677612, 0.9999969005584717, 0.9999970197677612, -1]","[0.9999970197677612, 0.9999967813491821, 0.9999972581863403, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999970197677612, 0.9999970197677612, -1]"
1_33_R,No farmers are scholars and Some assistants are not scholars,"['All farmers are assistants', 'All assistants are farmers', 'Some farmers are assistants', 'Some assistants are farmers', 'Some farmers are not assistants', 'Some assistants are not farmers', 'No farmers are assistants', 'No assistants are farmers', 'NVC']","[0.9999969005584717, 0.9999966621398926, 0.9999971389770508, 0.9999967813491821, 0.9999971389770508, 0.9999969005584717, 0.9999971389770508, 0.9999967813491821, -1]","[0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999970197677612, 0.9999972581863403, 0.9999970197677612, 0.9999972581863403, 0.9999971389770508, -1]"
1_34_R,All drillers are actors and Some nurses are not drillers,"['All actors are nurses', 'All nurses are actors', 'Some actors are nurses', 'Some nurses are actors', 'Some actors are not nurses', 'Some nurses are not actors', 'No actors are nurses', 'No nurses are actors', 'NVC']","[0.9999964237213135, 0.999996542930603, 0.9999966621398926, 0.9999966621398926, 0.9999967813491821, 0.9999969005584717, 0.9999960660934448, 0.9999963045120239, -1]","[0.999996542930603, 0.9999967813491821, 0.9999967813491821, 0.9999969005584717, 0.9999967813491821, 0.9999969005584717, 0.9999966621398926, 0.9999967813491821, -1]"
1_35_R,Some planners are artists and All artists are surfers,"['All planners are surfers', 'All surfers are planners', 'Some planners are surfers', 'Some surfers are planners', 'Some planners are not surfers', 'Some surfers are not planners', 'No planners are surfers', 'No surfers are planners', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999971389770508, -1]","[0.9999973773956299, 0.9999973773956299, 0.9999974966049194, 0.9999974966049194, 0.9999974966049194, 0.9999974966049194, 0.9999973773956299, 0.9999972581863403, -1]"
1_36_R,Some workers are actors and Some painters are not actors,"['All workers are painters', 'All painters are workers', 'Some workers are painters', 'Some painters are workers', 'Some workers are not painters', 'Some painters are not workers', 'No workers are painters', 'No painters are workers', 'NVC']","[0.9999966621398926, 0.9999966621398926, 0.9999969005584717, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999964237213135, 0.9999964237213135, -1]","[0.9999967813491821, 0.9999966621398926, 0.9999969005584717, 0.9999967813491821, 0.9999970197677612, 0.9999969005584717, 0.9999969005584717, 0.9999967813491821, -1]"
1_37_R,No runners are scientists and Some scientists are not chefs,"['All runners are chefs', 'All chefs are runners', 'Some runners are chefs', 'Some chefs are runners', 'Some runners are not chefs', 'Some chefs are not runners', 'No runners are chefs', 'No chefs are runners', 'NVC']","[0.9999964237213135, 0.9999966621398926, 0.9999970197677612, 0.9999969005584717, 0.9999969005584717, 0.9999970197677612, 0.9999964237213135, 0.9999966621398926, -1]","[0.999996542930603, 0.9999969005584717, 0.9999970197677612, 0.9999970197677612, 0.9999969005584717, 0.9999970197677612, 0.999996542930603, 0.9999967813491821, -1]"
1_38_R,Some novelists are travelers and Some travelers are analysts,"['All novelists are analysts', 'All analysts are novelists', 'Some novelists are analysts', 'Some analysts are novelists', 'Some novelists are not analysts', 'Some analysts are not novelists', 'No novelists are analysts', 'No analysts are novelists', 'NVC']","[0.9999970197677612, 0.9999967813491821, 0.9999972581863403, 0.9999970197677612, 0.9999972581863403, 0.9999970197677612, 0.9999970197677612, 0.9999967813491821, -1]","[0.9999970197677612, 0.9999969005584717, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999972581863403, 0.9999971389770508, 0.9999970197677612, -1]"
1_39_R,Some doctors are not tellers and No tellers are climbers,"['All doctors are climbers', 'All climbers are doctors', 'Some doctors are climbers', 'Some climbers are doctors', 'Some doctors are not climbers', 'Some climbers are not doctors', 'No doctors are climbers', 'No climbers are doctors', 'NVC']","[0.9999972581863403, 0.9999970197677612, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, 0.9999970197677612, -1]","[0.9999972581863403, 0.9999971389770508, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999971389770508, -1]"
1_40_R,All poets are cashiers and All waiters are cashiers,"['All poets are waiters', 'All waiters are poets', 'Some poets are waiters', 'Some waiters are poets', 'Some poets are not waiters', 'Some waiters are not poets', 'No poets are waiters', 'No waiters are poets', 'NVC']","[0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999970197677612, 0.9999969005584717, -1]","[0.9999972581863403, 0.9999971389770508, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, 0.9999971389770508, 0.9999971389770508, -1]"
1_41_R,All sculptors are bakers and No bakers are gamblers,"['All sculptors are gamblers', 'All gamblers are sculptors', 'Some sculptors are gamblers', 'Some gamblers are sculptors', 'Some sculptors are not gamblers', 'Some gamblers are not sculptors', 'No sculptors are gamblers', 'No gamblers are sculptors', 'NVC']","[0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999971389770508, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, -1]","[0.9999970197677612, 0.9999970197677612, 0.9999971389770508, 0.9999972581863403, 0.9999971389770508, 0.9999972581863403, 0.9999970197677612, 0.9999971389770508, -1]"
1_42_R,No managers are clerks and Some clerks are models,"['All managers are models', 'All models are managers', 'Some managers are models', 'Some models are managers', 'Some managers are not models', 'Some models are not managers', 'No managers are models', 'No models are managers', 'NVC']","[0.9999964237213135, 0.9999963045120239, 0.9999966621398926, 0.9999964237213135, 0.9999966621398926, 0.9999964237213135, 0.9999964237213135, 0.9999964237213135, -1]","[0.999996542930603, 0.9999967813491821, 0.9999966621398926, 0.9999966621398926, 0.9999969005584717, 0.9999969005584717, 0.999996542930603, 0.999996542930603, -1]"
1_43_R,All brokers are secretaries and Some secretaries are agents,"['All brokers are agents', 'All agents are brokers', 'Some brokers are agents', 'Some agents are brokers', 'Some brokers are not agents', 'Some agents are not brokers', 'No brokers are agents', 'No agents are brokers', 'NVC']","[0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999969005584717, 0.9999970197677612, 0.9999966621398926, 0.9999967813491821, -1]","[0.9999969005584717, 0.9999969005584717, 0.9999969005584717, 0.9999970197677612, 0.9999970197677612, 0.9999970197677612, 0.9999967813491821, 0.9999969005584717, -1]"
1_44_R,Some dancers are boxers and Some dancers are typists,"['All boxers are typists', 'All typists are boxers', 'Some boxers are typists', 'Some typists are boxers', 'Some boxers are not typists', 'Some typists are not boxers', 'No boxers are typists', 'No typists are boxers', 'NVC']","[0.9999972581863403, 0.9999972581863403, 0.9999974966049194, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999971389770508, -1]","[0.9999971389770508, 0.9999972581863403, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, -1]"
1_45_R,All drivers are writers and Some hikers are writers,"['All drivers are hikers', 'All hikers are drivers', 'Some drivers are hikers', 'Some hikers are drivers', 'Some drivers are not hikers', 'Some hikers are not drivers', 'No drivers are hikers', 'No hikers are drivers', 'NVC']","[0.9999969005584717, 0.9999967813491821, 0.9999970197677612, 0.9999969005584717, 0.9999969005584717, 0.9999967813491821, 0.9999964237213135, 0.999996542930603, -1]","[0.9999969005584717, 0.9999970197677612, 0.9999970197677612, 0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999969005584717, 0.9999970197677612, -1]"
1_46_R,All divers are carpenters and Some carpenters are not linguists,"['All divers are linguists', 'All linguists are divers', 'Some divers are linguists', 'Some linguists are divers', 'Some divers are not linguists', 'Some linguists are not divers', 'No divers are linguists', 'No linguists are divers', 'NVC']","[0.9999971389770508, 0.9999971389770508, 0.9999972581863403, 0.9999971389770508, 0.9999973773956299, 0.9999971389770508, 0.9999970197677612, 0.9999969005584717, -1]","[0.9999972581863403, 0.9999971389770508, 0.9999973773956299, 0.9999972581863403, 0.9999973773956299, 0.9999972581863403, 0.9999972581863403, 0.9999971389770508, -1]"
