id_seq,sentenced,choice_str,choice_union_pred
1_14,Some pilots are not singers and Some singers are not tailors,"['All pilots are tailors', 'All tailors are pilots', 'Some pilots are tailors', 'Some tailors are pilots', 'Some pilots are not tailors', 'Some tailors are not pilots', 'No pilots are tailors', 'No tailors are pilots', 'NVC']","[0.052553327986970544, 0.08211542153730989, 5.930289998650551, 3.8278434425592422, 70.57230472564697, 31.91746473312378, 1.307744812220335, 2.2932112216949463, -1]"
1_15,No surfers are artists and No surfers are planners,"['All artists are planners', 'All planners are artists', 'Some artists are planners', 'Some planners are artists', 'Some artists are not planners', 'Some planners are not artists', 'No artists are planners', 'No planners are artists', 'NVC']","[0.04892584402114153, 0.05035815411247313, 3.223123773932457, 1.654955931007862, 14.471752941608429, 9.61349904537201, 99.72538352012634, 84.08830165863037, -1]"
1_16,Some typists are not dancers and All boxers are typists,"['All dancers are boxers', 'All boxers are dancers', 'Some dancers are boxers', 'Some boxers are dancers', 'Some dancers are not boxers', 'Some boxers are not dancers', 'No dancers are boxers', 'No boxers are dancers', 'NVC']","[0.4279730375856161, 0.08756816969253123, 0.5369268823415041, 0.2950926311314106, 36.77831590175629, 13.706423342227936, 12.322241812944412, 30.443638563156128, -1]"
1_17,Some engineers are not fencers and Some campers are not fencers,"['All engineers are campers', 'All campers are engineers', 'Some engineers are campers', 'Some campers are engineers', 'Some engineers are not campers', 'Some campers are not engineers', 'No engineers are campers', 'No campers are engineers', 'NVC']","[0.051412894390523434, 0.02982028527185321, 94.55667734146118, 99.52249526977539, 15.194851160049438, 58.12630653381348, 0.09965270292013884, 0.14106566086411476, -1]"
1_18,Some climbers are not tellers and No doctors are climbers,"['All tellers are doctors', 'All doctors are tellers', 'Some tellers are doctors', 'Some doctors are tellers', 'Some tellers are not doctors', 'Some doctors are not tellers', 'No tellers are doctors', 'No doctors are tellers', 'NVC']","[3.0220182612538338, 1.248522475361824, 4.666363447904587, 5.343287065625191, 50.956761837005615, 18.992851674556732, 74.93537664413452, 71.81426882743835, -1]"
1_19,Some joggers are not counselors and No joggers are riders,"['All counselors are riders', 'All riders are counselors', 'Some counselors are riders', 'Some riders are counselors', 'Some counselors are not riders', 'Some riders are not counselors', 'No counselors are riders', 'No riders are counselors', 'NVC']","[0.6379664409905672, 0.29109641909599304, 18.94635707139969, 5.036429315805435, 61.04810833930969, 11.605308204889297, 99.79180693626404, 99.14109706878662, -1]"
1_20,No runners are chefs and No scientists are runners,"['All chefs are scientists', 'All scientists are chefs', 'Some chefs are scientists', 'Some scientists are chefs', 'Some chefs are not scientists', 'Some scientists are not chefs', 'No chefs are scientists', 'No scientists are chefs', 'NVC']","[0.8940083906054497, 0.8734738454222679, 1.223638653755188, 3.049371764063835, 14.736855030059814, 30.79386055469513, 56.002187728881836, 50.536805391311646, -1]"
1_21,Some hunters are lawyers and No athletes are lawyers,"['All hunters are athletes', 'All athletes are hunters', 'Some hunters are athletes', 'Some athletes are hunters', 'Some hunters are not athletes', 'Some athletes are not hunters', 'No hunters are athletes', 'No athletes are hunters', 'NVC']","[0.38324869237840176, 1.3174565508961678, 0.26184453163295984, 1.252597477287054, 94.91795897483826, 91.7690634727478, 96.74051403999329, 63.040030002593994, -1]"
1_22,Some mayors are cooks and Some swimmers are mayors,"['All cooks are swimmers', 'All swimmers are cooks', 'Some cooks are swimmers', 'Some swimmers are cooks', 'Some cooks are not swimmers', 'Some swimmers are not cooks', 'No cooks are swimmers', 'No swimmers are cooks', 'NVC']","[0.017598200065549463, 0.019983389938715845, 31.085482239723206, 6.20582140982151, 11.897963285446167, 0.3810225520282984, 0.07746377377770841, 0.04307944036554545, -1]"
1_23,Some poets are waiters and All cashiers are waiters,"['All poets are cashiers', 'All cashiers are poets', 'Some poets are cashiers', 'Some cashiers are poets', 'Some poets are not cashiers', 'Some cashiers are not poets', 'No poets are cashiers', 'No cashiers are poets', 'NVC']","[0.05229583475738764, 0.029565111617557704, 0.8784603327512741, 0.7501238491386175, 70.20027041435242, 37.44580149650574, 3.489907830953598, 46.80938422679901, -1]"
1_24,All agents are secretaries and All brokers are agents,"['All secretaries are brokers', 'All brokers are secretaries', 'Some secretaries are brokers', 'Some brokers are secretaries', 'Some secretaries are not brokers', 'Some brokers are not secretaries', 'No secretaries are brokers', 'No brokers are secretaries', 'NVC']","[13.422802090644836, 22.72808998823166, 2.304207719862461, 1.1299383826553822, 4.645395278930664, 1.7113856971263885, 1.2185394763946533, 1.0525966994464397, -1]"
1_25,Some students are not buyers and All cyclists are buyers,"['All students are cyclists', 'All cyclists are students', 'Some students are cyclists', 'Some cyclists are students', 'Some students are not cyclists', 'Some cyclists are not students', 'No students are cyclists', 'No cyclists are students', 'NVC']","[24.028952419757843, 0.2983903745189309, 32.28507936000824, 66.35099649429321, 89.41158056259155, 46.53535187244415, 1.120094396173954, 2.640768885612488, -1]"
1_26,Some workers are not actors and Some painters are not workers,"['All actors are painters', 'All painters are actors', 'Some actors are painters', 'Some painters are actors', 'Some actors are not painters', 'Some painters are not actors', 'No actors are painters', 'No painters are actors', 'NVC']","[0.018801512487698346, 0.02187124191550538, 0.5940472707152367, 1.2321202084422112, 4.587322473526001, 45.47813832759857, 1.3095670379698277, 2.0067334175109863, -1]"
1_27,Some designers are not architects and Some designers are trainers,"['All architects are trainers', 'All trainers are architects', 'Some architects are trainers', 'Some trainers are architects', 'Some architects are not trainers', 'Some trainers are not architects', 'No architects are trainers', 'No trainers are architects', 'NVC']","[0.01062008595908992, 0.017355638556182384, 1.4927608892321587, 0.18864403245970607, 16.375455260276794, 76.34974718093872, 0.5118262954056263, 0.4097871948033571, -1]"
1_28,All brewers are judges and Some brewers are porters,"['All judges are porters', 'All porters are judges', 'Some judges are porters', 'Some porters are judges', 'Some judges are not porters', 'Some porters are not judges', 'No judges are porters', 'No porters are judges', 'NVC']","[0.23446599952876568, 0.3314665053039789, 90.15783071517944, 74.26673173904419, 62.12478280067444, 43.72914135456085, 0.13714083470404148, 0.05658788722939789, -1]"
1_29,Some novelists are not travelers and Some novelists are not analysts,"['All travelers are analysts', 'All analysts are travelers', 'Some travelers are analysts', 'Some analysts are travelers', 'Some travelers are not analysts', 'Some analysts are not travelers', 'No travelers are analysts', 'No analysts are travelers', 'NVC']","[0.2797394525259733, 0.2374741481617093, 65.77333807945251, 63.19742798805237, 53.85763645172119, 11.743425577878952, 2.189813554286957, 1.9364004954695702, -1]"
1_30,Some tutors are butchers and No tutors are packers,"['All butchers are packers', 'All packers are butchers', 'Some butchers are packers', 'Some packers are butchers', 'Some butchers are not packers', 'Some packers are not butchers', 'No butchers are packers', 'No packers are butchers', 'NVC']","[0.06211763829924166, 0.05619305884465575, 28.084903955459595, 3.9810910820961, 70.32226324081421, 89.9385392665863, 99.78860020637512, 97.4177360534668, -1]"
1_31,All editors are florists and All editors are soldiers,"['All florists are soldiers', 'All soldiers are florists', 'Some florists are soldiers', 'Some soldiers are florists', 'Some florists are not soldiers', 'Some soldiers are not florists', 'No florists are soldiers', 'No soldiers are florists', 'NVC']","[2.911294624209404, 2.9127703979611397, 1.5168662182986736, 0.7387675344944, 1.575811579823494, 0.8330667391419411, 0.0521983252838254, 0.09143043425865471, -1]"
1_32,All therapists are climbers and No therapists are skaters,"['All climbers are skaters', 'All skaters are climbers', 'Some climbers are skaters', 'Some skaters are climbers', 'Some climbers are not skaters', 'Some skaters are not climbers', 'No climbers are skaters', 'No skaters are climbers', 'NVC']","[0.07330175722017884, 0.017274575657211244, 1.1298350058495998, 1.0525013320147991, 16.324472427368164, 22.771479189395905, 99.00453686714172, 99.16269779205322, -1]"
1_33,No farmers are scholars and Some assistants are not scholars,"['All farmers are assistants', 'All assistants are farmers', 'Some farmers are assistants', 'Some assistants are farmers', 'Some farmers are not assistants', 'Some assistants are not farmers', 'No farmers are assistants', 'No assistants are farmers', 'NVC']","[6.5606579184532166, 10.505109280347824, 92.40617752075195, 98.59585165977478, 74.87567067146301, 96.75981998443604, 39.924779534339905, 51.898497343063354, -1]"
1_34,All drillers are actors and Some nurses are not drillers,"['All actors are nurses', 'All nurses are actors', 'Some actors are nurses', 'Some nurses are actors', 'Some actors are not nurses', 'Some nurses are not actors', 'No actors are nurses', 'No nurses are actors', 'NVC']","[0.08717488963156939, 0.0906634028069675, 52.10026502609253, 35.81624627113342, 20.335575938224792, 99.77333545684814, 2.919478341937065, 1.0889669880270958, -1]"
1_35,Some planners are artists and All artists are surfers,"['All planners are surfers', 'All surfers are planners', 'Some planners are surfers', 'Some surfers are planners', 'Some planners are not surfers', 'Some surfers are not planners', 'No planners are surfers', 'No surfers are planners', 'NVC']","[5.781426280736923, 0.7263548206537962, 31.490322947502136, 2.5566942989826202, 8.055148273706436, 38.57218325138092, 0.8283888921141624, 1.664971373975277, -1]"
1_36,Some workers are actors and Some painters are not actors,"['All workers are painters', 'All painters are workers', 'Some workers are painters', 'Some painters are workers', 'Some workers are not painters', 'Some painters are not workers', 'No workers are painters', 'No painters are workers', 'NVC']","[0.021887890761718154, 0.0725958845578134, 11.219041794538498, 52.0563006401062, 8.939407020807266, 43.668487668037415, 0.1558128627948463, 0.41915401816368103, -1]"
1_37,No runners are scientists and Some scientists are not chefs,"['All runners are chefs', 'All chefs are runners', 'Some runners are chefs', 'Some chefs are runners', 'Some runners are not chefs', 'Some chefs are not runners', 'No runners are chefs', 'No chefs are runners', 'NVC']","[0.1877696136943996, 0.19717030227184296, 9.191136807203293, 3.4882593899965286, 46.42520248889923, 63.04890513420105, 4.694044217467308, 18.015708029270172, -1]"
1_38,Some novelists are travelers and Some travelers are analysts,"['All novelists are analysts', 'All analysts are novelists', 'Some novelists are analysts', 'Some analysts are novelists', 'Some novelists are not analysts', 'Some analysts are not novelists', 'No novelists are analysts', 'No analysts are novelists', 'NVC']","[0.016050647536758333, 0.015647454711142927, 97.6269543170929, 3.2559439539909363, 14.506043493747711, 19.162242114543915, 0.10737050324678421, 0.10614468483254313, -1]"
1_39,Some doctors are not tellers and No tellers are climbers,"['All doctors are climbers', 'All climbers are doctors', 'Some doctors are climbers', 'Some climbers are doctors', 'Some doctors are not climbers', 'Some climbers are not doctors', 'No doctors are climbers', 'No climbers are doctors', 'NVC']","[0.12237663613632321, 0.12269270373508334, 54.039645195007324, 30.776819586753845, 88.23834657669067, 51.36221647262573, 99.93595480918884, 99.8036801815033, -1]"
1_40,All poets are cashiers and All waiters are cashiers,"['All poets are waiters', 'All waiters are poets', 'Some poets are waiters', 'Some waiters are poets', 'Some poets are not waiters', 'Some waiters are not poets', 'No poets are waiters', 'No waiters are poets', 'NVC']","[3.0481021851301193, 6.160367280244827, 1.061263307929039, 3.4843038767576218, 1.124089304357767, 3.3371325582265854, 0.5022655241191387, 1.3241997919976711, -1]"
1_41,All sculptors are bakers and No bakers are gamblers,"['All sculptors are gamblers', 'All gamblers are sculptors', 'Some sculptors are gamblers', 'Some gamblers are sculptors', 'Some sculptors are not gamblers', 'Some gamblers are not sculptors', 'No sculptors are gamblers', 'No gamblers are sculptors', 'NVC']","[0.0686558021698147, 0.07885957602411509, 0.44558257795870304, 0.7471887394785881, 11.413699388504028, 30.421718955039978, 99.78851675987244, 99.63439106941223, -1]"
1_42,No managers are clerks and Some clerks are models,"['All managers are models', 'All models are managers', 'Some managers are models', 'Some models are managers', 'Some managers are not models', 'Some models are not managers', 'No managers are models', 'No models are managers', 'NVC']","[0.0665773346554488, 0.24921647273004055, 4.808970168232918, 0.8241240866482258, 68.22054386138916, 81.27452731132507, 8.886037766933441, 36.071887612342834, -1]"
1_43,All brokers are secretaries and Some secretaries are agents,"['All brokers are agents', 'All agents are brokers', 'Some brokers are agents', 'Some agents are brokers', 'Some brokers are not agents', 'Some agents are not brokers', 'No brokers are agents', 'No agents are brokers', 'NVC']","[0.12852601939812303, 0.6115250289440155, 98.66998195648193, 18.023867905139923, 4.119772091507912, 57.69374966621399, 0.53834468126297, 0.3895318601280451, -1]"
1_44,Some dancers are boxers and Some dancers are typists,"['All boxers are typists', 'All typists are boxers', 'Some boxers are typists', 'Some typists are boxers', 'Some boxers are not typists', 'Some typists are not boxers', 'No boxers are typists', 'No typists are boxers', 'NVC']","[0.008528678881702945, 0.011933701898669824, 1.383714098483324, 1.1201164685189724, 6.040337309241295, 5.877185612916946, 0.08853112813085318, 0.06422872538678348, -1]"
1_45,All drivers are writers and Some hikers are writers,"['All drivers are hikers', 'All hikers are drivers', 'Some drivers are hikers', 'Some hikers are drivers', 'Some drivers are not hikers', 'Some hikers are not drivers', 'No drivers are hikers', 'No hikers are drivers', 'NVC']","[0.2116598654538393, 0.04933952004648745, 28.2358318567276, 0.8327181451022625, 25.034132599830627, 20.672179758548737, 0.48396559432148933, 0.40138219483196735, -1]"
1_46,All divers are carpenters and Some carpenters are not linguists,"['All divers are linguists', 'All linguists are divers', 'Some divers are linguists', 'Some linguists are divers', 'Some divers are not linguists', 'Some linguists are not divers', 'No divers are linguists', 'No linguists are divers', 'NVC']","[0.035712754470296204, 0.17927037551999092, 2.994150295853615, 45.17445266246796, 90.03402590751648, 66.69303774833679, 6.9589123129844666, 6.918249279260635, -1]"
1_47,All painters are cleaners and Some painters are not auditors,"['All cleaners are auditors', 'All auditors are cleaners', 'Some cleaners are auditors', 'Some auditors are cleaners', 'Some cleaners are not auditors', 'Some auditors are not cleaners', 'No cleaners are auditors', 'No auditors are cleaners', 'NVC']","[0.0741225085221231, 0.02784485404845327, 6.901240348815918, 23.44990372657776, 99.53464865684509, 74.6109127998352, 0.6741917226463556, 1.0369121097028255, -1]"
1_48,No florists are editors and All soldiers are florists,"['All editors are soldiers', 'All soldiers are editors', 'Some editors are soldiers', 'Some soldiers are editors', 'Some editors are not soldiers', 'Some soldiers are not editors', 'No editors are soldiers', 'No soldiers are editors', 'NVC']","[3.7316102534532547, 0.20060143433511257, 13.54837715625763, 0.34805021714419127, 24.982950091362, 6.37991726398468, 19.695529341697693, 22.18088209629059, -1]"
1_49,Some swimmers are mayors and No mayors are cooks,"['All swimmers are cooks', 'All cooks are swimmers', 'Some swimmers are cooks', 'Some cooks are swimmers', 'Some swimmers are not cooks', 'Some cooks are not swimmers', 'No swimmers are cooks', 'No cooks are swimmers', 'NVC']","[0.07453773287124932, 0.20477145444601774, 2.1149011328816414, 2.9235685244202614, 98.21361899375916, 90.92154502868652, 99.96494054794312, 76.57489776611328, -1]"
1_50,Some architects are designers and Some designers are not trainers,"['All architects are trainers', 'All trainers are architects', 'Some architects are trainers', 'Some trainers are architects', 'Some architects are not trainers', 'Some trainers are not architects', 'No architects are trainers', 'No trainers are architects', 'NVC']","[0.022740388521924615, 0.026295840507373214, 0.9155981242656708, 6.329020112752914, 97.36194610595703, 62.86467909812927, 0.23186225444078445, 0.4730674438178539, -1]"
1_51,All tutors are butchers and No packers are tutors,"['All butchers are packers', 'All packers are butchers', 'Some butchers are packers', 'Some packers are butchers', 'Some butchers are not packers', 'Some packers are not butchers', 'No butchers are packers', 'No packers are butchers', 'NVC']","[0.3282608464360237, 0.44734650291502476, 27.24347710609436, 12.218835204839706, 26.152893900871277, 36.72057390213013, 99.71075654029846, 99.18147921562195, -1]"
1_52,Some singers are not tailors and Some pilots are tailors,"['All singers are pilots', 'All pilots are singers', 'Some singers are pilots', 'Some pilots are singers', 'Some singers are not pilots', 'Some pilots are not singers', 'No singers are pilots', 'No pilots are singers', 'NVC']","[0.039569399086758494, 0.03191890136804432, 2.8157638385891914, 0.8941495791077614, 59.330546855926514, 2.3476243019104004, 0.6263284012675285, 0.2736517693847418, -1]"
1_53,Some opticians are actuaries and Some boxers are actuaries,"['All opticians are boxers', 'All boxers are opticians', 'Some opticians are boxers', 'Some boxers are opticians', 'Some opticians are not boxers', 'Some boxers are not opticians', 'No opticians are boxers', 'No boxers are opticians', 'NVC']","[0.02530776837375015, 0.015055261610541493, 13.674311339855194, 12.11625412106514, 7.335606217384338, 1.3967184349894524, 0.07368037477135658, 0.0480181653983891, -1]"
1_54,Some sailors are chemists and No potters are sailors,"['All chemists are potters', 'All potters are chemists', 'Some chemists are potters', 'Some potters are chemists', 'Some chemists are not potters', 'Some potters are not chemists', 'No chemists are potters', 'No potters are chemists', 'NVC']","[0.08302589994855225, 0.07792941178195179, 1.9857214763760567, 1.5859013423323631, 33.55482816696167, 90.60340523719788, 98.01645278930664, 93.02974939346313, -1]"
1_55,Some investors are not barbers and All barbers are jugglers,"['All investors are jugglers', 'All jugglers are investors', 'Some investors are jugglers', 'Some jugglers are investors', 'Some investors are not jugglers', 'Some jugglers are not investors', 'No investors are jugglers', 'No jugglers are investors', 'NVC']","[0.07605383289046586, 0.13595640193670988, 13.216869533061981, 34.86371040344238, 90.43362736701965, 16.70854389667511, 2.833481691777706, 5.430790036916733, -1]"
1_56,Some judges are not brewers and Some porters are judges,"['All brewers are porters', 'All porters are brewers', 'Some brewers are porters', 'Some porters are brewers', 'Some brewers are not porters', 'Some porters are not brewers', 'No brewers are porters', 'No porters are brewers', 'NVC']","[0.06271052989177406, 0.0388231739634648, 0.9475835599005222, 0.4754270426928997, 62.37984299659729, 1.3984479941427708, 0.49382923170924187, 0.3515881020575762, -1]"
1_57,Some hunters are athletes and Some hunters are not lawyers,"['All athletes are lawyers', 'All lawyers are athletes', 'Some athletes are lawyers', 'Some lawyers are athletes', 'Some athletes are not lawyers', 'Some lawyers are not athletes', 'No athletes are lawyers', 'No lawyers are athletes', 'NVC']","[0.06405339227057993, 0.013955021859146655, 0.322000402957201, 0.2788910176604986, 95.91304063796997, 25.95856785774231, 1.0477456264197826, 0.5202344618737698, -1]"
1_58,No buyers are cyclists and All buyers are students,"['All cyclists are students', 'All students are cyclists', 'Some cyclists are students', 'Some students are cyclists', 'Some cyclists are not students', 'Some students are not cyclists', 'No cyclists are students', 'No students are cyclists', 'NVC']","[5.397234484553337, 2.1956587210297585, 2.2431505843997, 1.479656621813774, 19.853582978248596, 21.512143313884735, 62.13931441307068, 37.46143877506256, -1]"
1_59,No poets are miners and Some poets are skaters,"['All miners are skaters', 'All skaters are miners', 'Some miners are skaters', 'Some skaters are miners', 'Some miners are not skaters', 'Some skaters are not miners', 'No miners are skaters', 'No skaters are miners', 'NVC']","[0.22195165511220694, 0.04219027468934655, 1.8292009830474854, 0.7702830713242292, 43.15856099128723, 53.99232506752014, 2.9441680759191513, 0.754372775554657, -1]"
1_60,Some campers are not engineers and Some engineers are fencers,"['All campers are fencers', 'All fencers are campers', 'Some campers are fencers', 'Some fencers are campers', 'Some campers are not fencers', 'Some fencers are not campers', 'No campers are fencers', 'No fencers are campers', 'NVC']","[0.021135852148290724, 0.039831671165302396, 55.64417839050293, 20.37443518638611, 63.47919702529907, 49.432775378227234, 0.6085904315114021, 0.8614310063421726, -1]"
1_61,No bankers are teachers and No golfers are teachers,"['All bankers are golfers', 'All golfers are bankers', 'Some bankers are golfers', 'Some golfers are bankers', 'Some bankers are not golfers', 'Some golfers are not bankers', 'No bankers are golfers', 'No golfers are bankers', 'NVC']","[0.2673265291377902, 0.25132871232926846, 4.4509608298540115, 2.4144181981682777, 25.91322362422943, 45.90170979499817, 38.87421488761902, 26.491087675094604, -1]"
1_62,No counselors are joggers and Some riders are not counselors,"['All joggers are riders', 'All riders are joggers', 'Some joggers are riders', 'Some riders are joggers', 'Some joggers are not riders', 'Some riders are not joggers', 'No joggers are riders', 'No riders are joggers', 'NVC']","[1.8662439659237862, 0.25876297149807215, 94.87959742546082, 95.16978859901428, 16.024857759475708, 99.29821491241455, 45.993515849113464, 68.62731575965881, -1]"
1_63,Some lifeguards are not dentists and No plumbers are dentists,"['All lifeguards are plumbers', 'All plumbers are lifeguards', 'Some lifeguards are plumbers', 'Some plumbers are lifeguards', 'Some lifeguards are not plumbers', 'Some plumbers are not lifeguards', 'No lifeguards are plumbers', 'No plumbers are lifeguards', 'NVC']","[0.12744803680106997, 2.6656698435544968, 28.313159942626953, 54.662829637527466, 37.55078911781311, 25.287389755249023, 75.73766112327576, 40.799808502197266, -1]"
2_0,Some cooks are mayors and All cooks are swimmers,"['All mayors are swimmers', 'All swimmers are mayors', 'Some mayors are swimmers', 'Some swimmers are mayors', 'Some mayors are not swimmers', 'Some swimmers are not mayors', 'No mayors are swimmers', 'No swimmers are mayors', 'NVC']","[1.222969125956297, 2.2479871287941933, 16.83366894721985, 7.587697356939316, 6.241495907306671, 1.4564651064574718, 0.5003283731639385, 0.14828585553914309, -1]"
2_1,No painters are auditors and All cleaners are auditors,"['All painters are cleaners', 'All cleaners are painters', 'Some painters are cleaners', 'Some cleaners are painters', 'Some painters are not cleaners', 'Some cleaners are not painters', 'No painters are cleaners', 'No cleaners are painters', 'NVC']","[0.5094865802675486, 0.05107995239086449, 19.788049161434174, 1.1040995828807354, 14.672146737575531, 8.090387284755707, 47.10586071014404, 11.459998041391373, -1]"
2_2,All scientists are runners and All runners are chefs,"['All scientists are chefs', 'All chefs are scientists', 'Some scientists are chefs', 'Some chefs are scientists', 'Some scientists are not chefs', 'Some chefs are not scientists', 'No scientists are chefs', 'No chefs are scientists', 'NVC']","[6.86088353395462, 1.0785666294395924, 0.5421618465334177, 0.21554643753916025, 0.8897648192942142, 0.9836974553763866, 0.07527869893237948, 0.13303863815963268, -1]"
2_3,All skaters are climbers and Some therapists are skaters,"['All climbers are therapists', 'All therapists are climbers', 'Some climbers are therapists', 'Some therapists are climbers', 'Some climbers are not therapists', 'Some therapists are not climbers', 'No climbers are therapists', 'No therapists are climbers', 'NVC']","[0.05740224733017385, 0.05381123046390712, 7.279187440872192, 7.077093422412872, 10.146725177764893, 95.64294219017029, 0.10580482194200158, 0.5805223248898983, -1]"
2_4,All hunters are athletes and All lawyers are athletes,"['All hunters are lawyers', 'All lawyers are hunters', 'Some hunters are lawyers', 'Some lawyers are hunters', 'Some hunters are not lawyers', 'Some lawyers are not hunters', 'No hunters are lawyers', 'No lawyers are hunters', 'NVC']","[4.9915991723537445, 10.969752818346024, 1.6083385795354843, 1.9482159987092018, 2.561725676059723, 1.2379737570881844, 1.083273533731699, 0.22447360679507256, -1]"
